in_date,out_date
2000-04-04,2000-05-19
2000-07-10,2000-10-18
2000-12-12,2001-03-19
2001-05-29,2001-07-26
2001-11-16,2002-01-28
2002-03-14,2002-06-19
2002-11-21,2003-01-02
2003-01-23,2003-03-27
2003-04-25,2003-07-18
2003-08-18,2003-11-05
2003-12-12,2003-12-17
2004-01-07,2004-03-18
2004-06-02,2005-01-24
2005-02-14,2005-04-04
2005-06-30,2005-10-04
2005-11-24,2006-05-22
2006-07-25,2006-10-13
2006-11-17,2007-08-17
2007-09-17,2007-11-27
2007-12-05,2007-12-18
2008-04-29,2008-06-13
2008-12-29,2009-02-13
2009-03-24,2009-11-24
2010-03-10,2010-04-26
2010-06-25,2010-11-24
2011-01-06,2011-02-11
2011-04-08,2011-05-26
2011-11-04,2011-12-08
2012-01-19,2012-05-10
2012-07-05,2012-11-21
2012-12-17,2013-02-08
2013-07-29,2013-09-09
2013-10-10,2013-12-02
2014-04-04,2014-05-22
2014-06-13,2014-08-18
2014-11-21,2015-02-02
2015-04-08,2015-06-22
2015-11-05,2015-12-04
2016-03-09,2016-05-12
2016-07-13,2016-11-07
2017-02-01,2017-06-20
2017-08-01,2017-12-07
2018-01-05,2018-02-13
2018-04-06,2018-07-05
2018-11-29,2019-05-06
2019-06-24,2019-08-01
2019-11-05,2019-12-17
2020-04-17,2020-07-08
2020-08-24,2020-10-21
2020-11-17,2020-12-24
2021-01-18,2021-07-12
2021-08-23,2021-09-30
2022-01-19,2022-03-10
2022-06-23,2022-07-20
2022-12-05,2023-05-18
2023-12-20,2024-01-15
2024-03-04,2024-06-12
2024-08-20,2024-11-21
2025-02-26,2025-09-03
2025-11-26,2026-01-02
2026-01-20,2026-03-19
2026-05-06,2026-05-28
