in_date,out_date
2000-08-24,2000-11-29
2001-05-03,2001-10-05
2002-01-10,2002-05-08
2003-02-10,2003-05-16
2003-07-31,2004-05-28
2004-11-01,2005-06-09
2005-10-18,2006-08-02
2006-08-15,2008-02-26
2009-03-19,2010-06-22
2010-09-15,2011-04-04
2012-04-02,2013-05-09
2013-10-21,2014-03-06
2014-09-12,2015-03-31
2015-06-17,2015-09-11
2016-10-17,2017-01-17
2017-04-21,2018-08-29
2019-02-18,2019-10-15
2019-11-18,2019-12-09
2020-01-15,2020-02-17
2020-08-19,2021-08-31
2022-03-15,2023-07-03
2023-08-23,2023-09-25
2024-07-12,2025-02-26
2025-10-03,2025-11-13
