in_date,out_date
2004-03-22,2004-07-08
2005-01-26,2005-08-03
2006-02-17,2006-04-26
2006-11-24,2008-03-07
2008-08-04,2008-11-25
2009-06-16,2010-03-17
2010-05-25,2010-09-14
2010-11-23,2010-12-09
2011-02-07,2011-11-08
2012-06-28,2014-07-25
2014-09-16,2015-03-30
2015-06-29,2015-10-05
2015-11-04,2015-11-20
2016-01-13,2016-03-24
2016-04-14,2016-05-16
2016-07-20,2018-11-02
2019-12-11,2020-04-09
2020-09-16,2021-01-20
2021-07-06,2021-11-18
2022-07-27,2022-08-30
2022-10-31,2023-04-17
2024-01-17,2024-01-25
2024-06-24,2024-08-09
2024-11-04,2024-11-20
2025-09-15,2026-03-31
