in_date,out_date
2000-07-10,2000-09-19
2000-12-15,2001-03-27
2001-05-24,2001-07-23
2002-03-11,2002-08-05
2003-05-29,2004-04-21
2004-07-22,2005-02-17
2005-06-09,2005-10-26
2005-12-02,2006-05-25
2006-08-02,2007-08-17
2007-10-18,2007-11-14
2008-05-05,2008-07-02
2009-04-21,2010-05-04
2010-06-30,2010-12-20
2011-04-04,2011-06-22
2011-07-11,2011-09-07
2012-02-09,2012-05-02
2012-09-11,2013-02-18
2013-05-09,2013-07-08
2013-08-14,2013-08-22
2013-09-26,2014-01-03
2014-05-22,2014-09-12
2015-04-21,2016-01-27
2016-04-12,2016-12-06
2017-02-17,2018-08-13
2019-02-13,2020-01-20
2020-05-12,2020-09-30
2020-11-25,2021-03-03
2021-05-18,2021-07-28
2021-11-11,2022-01-14
2022-06-23,2022-10-19
2022-12-21,2023-05-10
2024-03-12,2024-06-06
2024-09-30,2024-12-12
2025-03-11,2025-06-02
2025-07-31,2025-11-05
