in_date,out_date
2000-09-11,2001-05-08
2001-06-19,2001-07-31
2002-01-10,2002-08-29
2002-12-20,2003-05-08
2003-07-10,2004-06-07
2004-08-17,2005-03-23
2005-06-14,2006-07-12
2006-08-28,2006-10-05
2007-02-09,2008-04-16
2008-06-10,2008-07-28
2009-06-22,2010-06-17
2010-08-25,2011-10-27
2012-03-09,2014-02-26
2014-07-15,2014-12-12
2015-02-18,2015-04-13
2015-06-01,2015-09-16
2016-05-17,2018-05-21
2019-03-14,2019-07-03
2020-02-04,2020-04-17
2021-01-08,2022-01-19
2022-03-15,2022-05-27
2022-08-10,2022-12-13
2023-11-08,2024-07-12
2024-12-04,2025-03-11
2025-07-18,2026-06-01
