in_date,out_date
2004-03-19,2004-07-28
2004-08-13,2004-08-31
2004-10-07,2004-10-28
2005-03-24,2005-05-06
2006-02-16,2006-03-09
2006-03-22,2006-06-06
2006-06-22,2006-07-18
2006-08-21,2006-09-06
2006-10-24,2007-12-24
2008-05-23,2008-06-05
2009-06-23,2009-12-30
2010-03-11,2010-05-10
2010-09-08,2010-11-25
2010-12-16,2011-03-23
2011-05-16,2011-06-01
2012-06-22,2012-12-05
2013-01-21,2013-07-04
2013-07-17,2013-08-12
2013-11-20,2014-03-04
2014-12-23,2015-01-21
2015-02-03,2015-02-11
2015-06-10,2015-07-20
2015-11-06,2016-02-15
2016-03-15,2017-06-21
2019-04-23,2019-05-29
2019-06-06,2020-01-13
2020-10-05,2021-06-21
2021-08-24,2022-01-20
2022-06-13,2022-08-08
2022-08-29,2023-09-18
2023-12-13,2024-04-08
2024-04-24,2024-09-26
2024-11-14,2025-05-29
2025-06-24,2025-08-11
2025-11-06,2026-06-01
