in_date,out_date
2000-11-03,2000-12-20
2001-01-15,2001-04-17
2002-05-21,2002-08-26
2003-06-24,2003-08-08
2003-09-08,2003-10-02
2003-10-23,2004-01-12
2004-02-23,2004-05-20
2004-07-22,2004-08-20
2004-09-02,2004-10-01
2004-11-04,2005-11-11
2005-12-07,2006-06-08
2006-09-21,2006-10-18
2007-03-30,2007-10-18
2009-01-02,2009-05-13
2009-06-22,2010-03-10
2010-06-03,2011-04-21
2011-05-13,2011-06-22
2011-07-06,2011-08-09
2011-09-02,2011-09-30
2012-02-22,2012-03-23
2012-05-02,2012-05-23
2012-05-31,2012-06-05
2012-06-21,2012-06-26
2012-06-29,2012-07-05
2012-07-13,2012-08-21
2013-05-28,2013-07-03
2013-08-09,2014-05-09
2014-07-07,2014-10-28
2015-03-05,2015-07-14
2015-11-05,2016-01-14
2016-04-25,2016-05-25
2016-05-30,2017-04-18
2017-07-06,2017-10-13
2019-02-18,2019-05-15
2019-06-27,2019-08-09
2019-10-23,2019-12-09
2020-02-20,2021-02-03
2021-02-26,2021-09-03
2021-11-19,2022-03-07
2022-05-19,2022-10-27
2022-12-05,2023-03-07
2023-04-06,2023-04-26
2023-06-23,2023-09-20
2023-10-12,2023-11-03
2024-01-05,2024-06-17
2024-11-29,2025-04-22
2025-06-05,2026-01-23
2026-05-11,2026-06-01
