in_date,out_date
2001-11-02,2002-02-07
2002-04-03,2002-11-25
2003-11-20,2004-08-06
2005-02-08,2005-05-12
2005-07-08,2006-10-17
2007-10-17,2008-01-15
2008-03-12,2008-07-04
2009-07-13,2011-06-16
2011-08-24,2013-06-13
2013-07-15,2014-08-28
2015-08-06,2015-11-20
2016-03-03,2016-06-01
2016-08-05,2017-05-10
2017-06-27,2017-09-22
2017-11-15,2020-02-03
2020-04-21,2020-06-26
2020-11-11,2021-03-02
2021-04-21,2022-02-16
2022-05-31,2022-08-04
2022-11-29,2023-03-14
2023-06-08,2023-08-09
2024-04-09,2025-06-17
