in_date,out_date
2004-05-03,2005-01-14
2005-08-05,2006-04-10
2007-01-29,2007-02-22
2007-11-21,2008-01-31
2008-06-25,2009-04-03
2010-05-20,2011-01-07
2011-05-09,2011-12-15
2012-04-05,2012-10-10
2014-05-07,2014-06-11
2015-01-20,2015-04-15
2015-07-07,2015-07-17
2015-07-29,2015-10-20
2015-12-04,2016-04-18
2016-05-23,2016-08-11
2016-12-15,2017-01-23
2017-12-05,2018-11-05
2019-05-17,2019-06-21
2019-07-26,2019-09-10
2019-10-03,2020-01-17
2020-01-31,2020-08-06
2020-09-09,2020-11-10
2021-04-14,2021-05-31
2021-07-28,2021-08-19
2021-11-11,2021-12-28
2022-03-09,2022-12-15
2023-08-25,2024-01-05
2024-03-27,2024-04-11
2024-09-11,2024-09-24
2024-11-21,2024-12-27
2025-01-21,2025-05-23
2025-12-17,2026-02-04
2026-06-01,2026-06-01
