date,open,high,low,close,volume,mtm_hist,macd_hist
2000-01-14,2.0414,2.3789,1.9288,2.17,206966539,,
2000-01-28,2.2182,2.2182,2.0092,2.1378,66727750,,
2000-02-11,2.0896,2.186,2.0092,2.0414,67256000,,
2000-02-25,2.0092,2.0092,1.5993,1.6234,125299292,,
2000-03-10,1.6234,1.8485,1.4145,1.8003,146214806,,
2000-03-24,1.7842,1.9931,1.6234,1.6556,78947000,,
2000-04-07,1.6717,1.7199,1.4868,1.6395,40367000,,
2000-04-21,1.6234,1.6556,1.3984,1.5833,38265353,,
2000-05-05,1.5833,1.5993,1.527,1.535,15425597,,
2000-05-19,1.5431,1.7681,1.4466,1.736,75264000,,
2000-06-02,1.736,1.7842,1.3904,1.5511,110945000,,
2000-06-16,1.6074,1.7118,1.5511,1.6955,89090451,,
2000-06-30,1.6955,1.8749,1.6629,1.7444,133201720,,
2000-07-14,1.7444,2.0053,1.7281,1.9075,134864000,,
2000-07-28,1.9238,2.1194,1.8586,1.9727,142461000,,
2000-08-11,1.9401,2.152,1.8749,2.0379,95039659,,
2000-08-25,2.0542,2.1194,2.0053,2.0868,93538341,,
2000-09-08,2.0379,2.1031,1.989,2.0379,42267000,,
2000-09-22,2.0053,2.0053,1.6629,1.6955,63442911,,
2000-10-06,1.7281,2.0712,1.7281,1.8904,29712000,,
2000-10-20,1.8739,1.8904,1.6109,1.7424,32763600,,
2000-11-03,1.726,1.8739,1.6602,1.8246,52411428,,
2000-11-17,1.8575,1.9068,1.7753,1.8739,53044000,,
2000-12-01,1.8739,1.9397,1.7589,1.8575,39893000,,
2000-12-15,1.841,1.9232,1.8082,1.8246,49889990,,
2000-12-29,1.7917,1.8739,1.7753,1.8575,24369877,,
2001-01-12,1.8575,2.0054,1.8246,1.8739,110429848,,
2001-01-26,1.8904,1.8904,1.6767,1.8246,66556562,,
2001-02-09,1.8739,1.8904,1.7424,1.8575,53908400,,
2001-02-23,1.8904,2.2027,1.8575,2.0712,190034010,,
2001-03-09,2.0712,2.2355,1.8739,1.9068,129265082,,0.066268
2001-03-23,1.8739,1.8904,1.6767,1.726,72349873,,-0.107374
2001-04-06,1.7424,1.841,1.7095,1.7424,47239962,,-0.085288
2001-04-20,1.7095,1.8575,1.6438,1.8082,44829000,,-0.01827
2001-05-04,1.8246,1.9561,1.7753,1.9068,43333300,,0.075309
2001-05-18,1.9232,2.0219,1.8904,1.9397,71130913,,0.101446
2001-06-01,1.9397,2.104,1.8904,1.9232,102848312,,0.079637
2001-06-15,1.9561,2.104,1.832,1.882,98257800,,0.036035
2001-06-29,1.882,1.9819,1.882,1.9819,38475975,,0.127439
2001-07-13,1.9819,1.9819,1.7654,1.782,32053742,,-0.067932
2001-07-27,1.7987,1.8153,1.6821,1.7321,26396000,,-0.110468
2001-08-10,1.7321,1.7487,1.5572,1.6488,48793990,0.120305,-0.181657
2001-08-24,1.6488,1.7987,1.6321,1.6821,31308500,0.153823,-0.139085
2001-09-07,1.6821,1.7154,1.6321,1.6571,20132792,0.207384,-0.15383
2001-09-21,1.6488,1.6655,1.2491,1.4739,57913300,0.340167,-0.315965
2001-10-05,1.4739,1.6405,1.4739,1.6238,22688600,0.143061,-0.155686
2001-10-19,1.5988,1.6308,1.4872,1.521,61412000,0.253419,-0.242331
2001-11-02,1.521,1.69,1.5041,1.6646,85677790,0.114745,-0.09256
2001-11-16,1.6815,1.7745,1.6055,1.7576,71745507,-0.02505,0.000412
2001-11-30,1.7576,1.8421,1.69,1.7238,47401400,0.037863,-0.031301
2001-12-14,1.7407,1.8083,1.6562,1.7069,53869227,0.244058,-0.045188
2001-12-28,1.7069,1.7576,1.6815,1.6815,22494296,0.095507,-0.066177
2002-01-11,1.69,1.8252,1.6815,1.7914,48287000,-0.177448,0.040991
2002-01-25,1.7576,2.0111,1.7576,1.9604,63371425,-0.300044,0.196866
2002-02-08,1.9604,2.0956,1.8759,1.9604,45913000,-0.212949,0.184562
2002-02-22,1.9604,2.0618,1.9435,1.9942,21925263,-0.134681,0.204714
2002-03-08,1.9942,2.0787,1.9097,2.0449,34088559,-0.138619,0.239451
2002-03-22,2.0618,2.1294,2.028,2.028,42771210,-0.125654,0.208642
2002-04-05,2.0956,2.0956,2.028,2.0956,26407170,-0.21314,0.258977
2002-04-19,2.0787,2.1632,2.028,2.0956,46158900,-0.102945,0.242791
2002-05-03,2.0956,2.1294,1.9604,2.1294,54952200,-0.306041,0.259304
2002-05-17,2.1294,2.1463,2.0449,2.1125,29272400,-0.308219,0.227253
2002-05-31,2.1125,2.16,2.0787,2.1085,47420000,-0.35229,0.2093
2002-06-14,2.1085,2.16,2.0914,2.1257,25125000,-0.305627,0.212344
2002-06-28,2.1085,2.1428,1.9885,2.0571,38797800,-0.238207,0.13476
2002-07-12,2.0571,2.1085,1.9885,2.0914,16815839,-0.414279,0.158494
2002-07-26,2.0571,2.0571,1.8,1.8857,36169000,-0.053344,-0.044256
2002-08-09,1.8685,1.9714,1.8514,1.92,20041000,-0.173131,-0.009334
2002-08-23,1.8857,1.9885,1.8171,1.9543,15127900,-0.058028,0.023406
2002-09-06,1.9371,1.9714,1.8343,1.9028,13202880,0.078611,-0.026338
2002-09-20,1.9028,1.9543,1.8171,1.8514,11152962,0.087464,-0.07288
2002-10-04,1.8685,1.92,1.7717,1.8065,23515852,0.104967,-0.110418
2002-10-18,1.7891,1.9107,1.6675,1.8933,33150004,-0.006575,-0.022142
2002-11-01,1.8933,1.9802,1.8412,1.8933,17743812,0.093932,-0.020758
2002-11-15,1.8933,1.9454,1.8586,1.9107,10242000,0.223211,-0.003148
2002-11-29,1.9281,1.9975,1.9107,1.9107,13930700,0.202919,-0.002952
2002-12-13,1.9107,1.9802,1.9107,1.9454,14456037,0.183653,0.029764
2002-12-27,1.9454,1.9802,1.9281,1.9628,10484400,0.19723,0.044216
2003-01-10,1.9281,2.1365,1.8933,2.1018,28884000,0.037573,0.171765
2003-01-24,2.1018,2.1365,2.0323,2.0323,36104000,0.158794,0.095874
2003-02-07,1.9975,2.1886,1.9975,2.1712,45371000,0.018085,0.2201
2003-02-21,2.1539,2.206,2.0844,2.1365,31675143,0.078714,0.173813
2003-03-07,2.1365,2.1539,1.9107,1.9802,24467131,0.198285,0.016418
2003-03-21,1.9628,2.0844,1.9281,2.067,23956020,0.097714,0.096767
2003-04-04,2.0497,2.1018,1.9628,1.9802,23913014,0.183376,0.009344
2003-04-18,1.9802,2.1712,1.876,2.1191,57595511,-0.021931,0.138979
2003-05-02,2.1191,2.1539,1.9107,2.0844,61857000,0.04279,0.097761
2003-05-16,2.1191,2.2407,2.067,2.2234,43678827,-0.274463,0.221964
2003-05-30,2.2234,2.397,2.1712,2.3627,49644000,-0.344967,0.338685
2003-06-13,2.3805,2.5759,2.2916,2.5404,85368361,-0.44397,0.484111
2003-06-27,2.5759,2.6114,2.3982,2.5048,64906473,-0.418063,0.420479
2003-07-11,2.5048,2.5581,2.4338,2.5226,41729503,-0.442967,0.410886
2003-07-25,2.5048,2.5581,2.3805,2.4338,42504685,-0.362788,0.301956
2003-08-08,2.4515,2.6114,2.4338,2.5581,66621097,-0.363898,0.399615
2003-08-22,2.5936,3.1266,2.5936,2.9845,121002563,-0.718453,0.774389
2003-09-05,2.9845,3.4819,2.9489,3.3398,145795823,-0.960321,1.059084
2003-09-19,3.3753,3.3753,3.0378,3.0733,94257659,-0.630746,0.743047
2003-10-03,3.0733,3.3575,3.0378,3.1549,77202240,-0.616042,0.773107
2003-10-17,3.191,3.8039,3.1729,3.6957,185081487,-1.035856,1.231787
2003-10-31,3.6777,3.84,3.4434,3.8039,120076844,-0.913688,1.256238
2003-11-14,3.7859,4.0203,3.5515,3.6777,102144634,-0.77908,1.059411
2003-11-28,3.6777,3.6957,3.3352,3.5876,66584500,-0.500072,0.908729
2003-12-12,3.5876,3.7859,3.4794,3.7318,99853878,-0.617248,0.987121
2003-12-26,3.7498,3.7859,3.5335,3.6597,54798761,-0.63768,0.857832
2004-01-09,3.6957,4.1464,3.6056,4.1284,95222736,-0.926891,1.243624
2004-01-23,4.1464,4.1464,3.8039,4.0743,56739298,-0.872355,1.115179
2004-02-06,4.1464,4.2366,3.8219,3.9301,119629601,-0.535686,0.910292
2004-02-20,3.9662,4.1464,3.9301,4.0743,77117032,-0.649624,0.988587
2004-03-05,4.0203,4.1284,4.0202,4.0383,48013074,-0.431476,0.89305
2004-03-19,4.0743,4.1104,3.5335,3.858,76276495,-0.101706,0.668203
2004-04-02,3.8039,4.0563,3.6957,4.0022,43478000,-0.062005,0.761628
2004-04-16,4.0022,4.3087,3.7859,3.84,65664240,0.058722,0.561964
2004-04-30,3.876,3.9121,3.2811,3.3172,102073800,0.544839,0.036716
2004-05-14,3.3172,3.4974,3.2811,3.2991,93838715,0.431035,0.017452
2004-05-28,3.227,3.7498,2.9566,3.7138,71602493,0.12785,0.405143
2004-06-11,3.7286,4.044,3.5431,3.9327,52903684,0.304864,0.58504
2004-06-25,3.9327,3.9883,3.2649,3.8028,64343543,0.71824,0.426694
2004-07-09,3.8028,3.9327,3.7286,3.7657,34936788,0.4444,0.365244
2004-07-23,3.7843,4.0254,3.6915,3.9698,43343290,0.292636,0.53376
2004-08-06,3.9327,4.248,3.9141,4.2295,43901700,0.521578,0.743869
2004-08-20,4.2109,4.2851,3.9512,4.1553,48935700,0.63998,0.627815
2004-09-03,4.1553,4.619,4.1182,4.4892,122149577,0.163528,0.901608
2004-09-17,4.4706,4.4706,4.2295,4.4335,75831224,0.117389,0.793038
2004-10-01,4.4706,4.6005,4.1919,4.4174,62747470,0.252444,0.72838
2004-10-15,4.4926,4.6054,4.2483,4.3235,54308381,0.249313,0.594825
2004-10-29,4.3235,4.3611,4.0791,4.3235,44849859,0.652739,0.557648
2004-11-12,4.3611,4.4738,4.2483,4.4174,35114306,0.458854,0.610826
2004-11-26,4.3987,4.6054,4.3987,4.5302,45587518,0.183503,0.6784
2004-12-10,4.5302,5.0566,4.5114,4.8122,72763688,0.041548,0.900375
2004-12-24,4.8498,5.3761,4.7558,5.2445,35809166,-0.387956,1.249383
2005-01-07,5.2445,5.6393,5.1694,5.4513,43569044,-0.704596,1.365171
2005-01-21,5.4701,5.6017,5.2445,5.3197,48034822,-0.389815,1.156473
2005-02-04,5.3197,5.8461,5.2821,5.8085,47968800,-0.946195,1.542443
2005-02-18,5.8461,6.128,5.6393,5.8085,42454055,-1.33545,1.446041
2005-03-04,5.8649,6.2032,5.7709,5.9213,47515631,-1.333046,1.461413
2005-03-18,6.0528,6.1092,5.9025,6.0153,35740269,-0.920314,1.4582
2005-04-01,6.0152,6.0716,5.6581,5.7709,48332228,-0.415468,1.137937
2005-04-15,5.8085,6.1092,5.7333,5.9213,33008770,-0.632516,1.207816
2005-04-29,5.7709,5.8656,5.5641,5.8273,53840904,-0.523287,1.044203
2005-05-13,5.9039,6.0956,5.8273,5.8464,23888748,-0.307534,0.996846
2005-05-27,5.8464,5.8464,5.3097,5.6164,67481587,0.165606,0.718918
2005-06-10,5.5589,5.6739,5.2522,5.6548,90291652,0.048187,0.709986
2005-06-24,5.6739,5.8464,5.5397,5.7698,45646417,0.242806,0.773424
2005-07-08,5.6931,6.019,5.5781,5.6931,35654242,0.239824,0.653179
2005-07-22,5.6931,6.0765,5.5973,5.9231,42471247,-0.005706,0.82798
2005-08-05,5.9423,6.6899,5.7889,6.4215,51481156,-0.543641,1.243482
2005-08-19,6.4023,6.4982,6.1531,6.3448,28382683,-0.424492,1.093858
2005-09-02,6.249,6.479,6.1531,6.364,16822093,-0.317993,1.043492
2005-09-16,6.2873,6.4023,6.2106,6.2873,18065826,-0.116812,0.906367
2005-09-30,6.2298,6.7665,6.2106,6.6324,34419189,-0.163556,1.173251
2005-10-14,6.6132,6.7474,6.1174,6.1368,31672674,0.694858,0.635297
2005-10-28,6.1561,6.1755,5.6334,5.7883,45816421,1.136507,0.268873
2005-11-11,5.9238,6.6207,5.7883,6.5627,37505923,0.209552,0.978068
2005-11-25,6.5627,6.582,5.9625,6.1948,39147267,0.96932,0.572032
2005-12-09,6.2142,6.6982,6.1755,6.3691,32110036,0.722746,0.699687
2005-12-23,6.3691,7.1434,6.311,6.9886,35069139,0.196405,1.236738
2006-01-06,7.0079,7.066,6.4659,6.9692,31315994,0.281641,1.141254
2006-01-20,6.9692,7.3951,6.8918,7.066,39724454,-0.054145,1.160676
2006-02-03,7.0079,8.3437,6.8918,7.55,46414223,-0.352495,1.541883
2006-02-17,7.4338,8.5179,7.4145,8.4211,56958116,-1.197814,2.262172
2006-03-03,8.4018,9.0212,8.2469,8.7502,50560564,-1.37074,2.429317
2006-03-17,8.7502,8.7502,7.7048,8.2856,51472364,-1.032854,1.841923
2006-03-31,8.3243,8.7696,7.9759,8.6728,38253618,-1.256049,2.089802
2006-04-13,8.8277,9.7569,8.6341,9.1568,48496213,-1.477318,2.41294
2006-04-28,9.4084,10.6087,9.2342,10.2602,52476880,-2.415834,3.296569
2006-05-12,10.2796,10.841,10.2796,10.3183,32720606,-2.03994,3.145002
2006-05-26,10.1828,10.1828,8.5586,8.7942,69478101,-0.015855,1.519595
2006-06-09,8.912,9.5009,8.5783,8.6175,55497344,0.076496,1.258964
2006-06-23,8.3624,9.069,7.6753,8.3624,49475087,0.318905,0.941123
2006-07-07,8.3624,10.1879,8.3624,9.8739,33429514,-1.153904,2.299334
2006-07-21,9.7757,10.0505,8.5979,9.2653,46068037,-0.182004,1.585063
2006-08-04,9.1083,9.5205,9.0298,9.2653,32736107,-0.616004,1.485997
2006-08-18,9.1475,9.9131,9.1475,9.5598,22838025,-1.144549,1.669216
2006-09-01,9.5401,9.599,8.8727,9.1475,27890124,0.038319,1.178358
2006-09-15,9.2261,9.5205,8.8138,8.9512,41015773,-0.121164,0.92068
2006-09-29,8.9905,9.2064,8.6961,8.9905,58124824,0.012578,0.899981
2006-10-13,8.912,9.3753,8.7028,8.9995,48605313,0.566435,0.85217
2006-10-27,8.9006,9.2962,8.861,9.0984,38017640,0.407395,0.891628
2006-11-10,9.0984,9.9686,8.7819,9.7511,94818947,-0.135005,1.447807
2006-11-24,9.7115,10.9576,9.5335,10.2653,74712259,-0.150186,1.839382
2006-12-08,10.2455,12.5597,10.028,11.9663,66888291,-0.890987,3.319108
2006-12-22,11.8674,12.263,10.9971,12.1048,45074742,-0.636716,3.241508
2007-01-05,12.3026,12.7773,11.3532,11.4718,42923195,-0.425742,2.445476
2007-01-19,11.3927,11.6696,10.7598,10.7796,30855097,0.594235,1.643696
2007-02-02,10.8785,12.0652,10.8785,11.907,48068991,-0.044695,2.597903
2007-02-16,11.8674,12.9751,11.3729,12.4608,58483634,0.459004,2.954721
2007-03-02,12.5004,12.8564,11.0763,11.8476,29977972,1.027549,2.195176
2007-03-16,11.729,11.9861,10.8587,11.5707,51839599,-0.199683,1.798384
2007-03-30,11.7092,13.1728,11.3136,13.0542,42545884,-1.690802,3.076766
2007-04-13,12.8564,14.8738,12.5004,14.32,42523183,-2.919729,4.071156
2007-04-27,14.1222,14.9727,13.252,13.7069,41923851,-0.722845,3.241927
2007-05-11,13.7069,14.6761,13.252,13.9838,28715736,-1.462132,3.298901
