in_date,out_date
1993-12-31,1997-08-29
2002-05-31,2006-03-31
2006-12-29,2008-09-30
2009-09-30,2013-08-30
2014-02-28,2014-10-31
2017-07-31,2017-12-29
2020-11-30,2022-01-31
