in_date,out_date
2006-04-21,2008-09-05
2009-06-02,2012-05-11
2012-12-11,2013-02-15
2014-08-07,2015-02-25
2016-02-18,2016-12-16
2017-10-04,2018-06-19
2019-02-08,2021-03-03
2022-02-02,2022-07-08
2023-01-04,2026-05-22
