in_date,out_date
1998-08-31,1999-03-10
1999-10-19,2000-02-08
2000-12-20,2001-07-09
2001-09-25,2002-02-28
2002-05-17,2003-09-01
2004-01-13,2004-04-22
2004-11-10,2005-05-09
2006-01-23,2008-08-15
2009-05-12,2010-02-04
2010-10-08,2011-09-09
2012-09-25,2013-07-02
2013-09-18,2014-06-03
2015-08-25,2016-10-24
2017-05-12,2018-05-07
2019-06-25,2019-09-25
2020-01-03,2021-03-26
2022-12-02,2023-09-20
2024-04-09,2024-05-13
2024-08-21,2024-11-29
2025-04-24,2026-03-16
