in_date,out_date
1998-04-01,1999-04-27
2001-03-20,2002-04-17
2002-08-19,2003-06-05
2004-05-07,2004-09-15
2004-09-29,2005-03-29
2005-12-14,2006-05-29
2006-11-03,2007-06-05
2007-08-16,2008-06-25
2008-12-26,2009-08-18
2012-05-28,2012-09-06
2013-07-04,2014-04-17
2015-02-13,2016-08-22
2018-09-19,2019-07-03
2022-08-01,2026-06-01
