in_date,out_date
2001-10-17,2002-02-07
2002-04-16,2002-04-24
2002-05-20,2002-11-07
2003-05-28,2004-07-29
2005-01-31,2005-09-01
2005-11-15,2006-06-15
2006-07-06,2008-01-18
2008-02-05,2008-08-07
2010-03-12,2011-07-18
2011-11-16,2011-12-15
2012-06-20,2012-10-11
2013-06-21,2014-12-08
2014-12-24,2015-06-29
2015-09-18,2016-01-05
2016-03-08,2017-07-31
2017-08-16,2018-02-12
2018-05-10,2018-12-19
2019-09-06,2019-09-24
2020-06-01,2020-07-15
2021-02-02,2021-10-08
2022-05-31,2022-08-17
2022-11-08,2023-03-14
2023-04-20,2023-09-19
2023-12-29,2024-05-31
2025-02-17,2025-06-12
2025-07-14,2025-08-25
2025-11-12,2026-02-04
