date,open,high,low,close,volume,mtm_hist,macd_hist
2010-07-30,1.236,1.3691,1.217,1.3349,4776537200,,
2010-08-31,1.3425,1.3615,1.2588,1.3387,3277849755,,
2010-09-30,1.3387,1.5403,1.3273,1.5289,5442271641,,
2010-10-29,1.5555,1.6087,1.5022,1.5555,6040122411,,
2010-11-30,1.5745,1.7152,1.5251,1.5403,3786224659,,
2010-12-31,1.5479,1.6544,1.4452,1.4832,4240360421,,
2011-01-31,1.4908,1.5517,1.4376,1.4604,2526718869,,
2011-02-28,1.468,1.5022,1.3653,1.468,2186478803,,
2011-03-31,1.4756,1.6924,1.4642,1.6772,4392867853,,
2011-04-29,1.6886,1.8445,1.6582,1.7456,3800159459,,
2011-05-31,1.7266,1.8141,1.6734,1.8065,2085567285,,
2011-06-30,1.7989,1.8065,1.4444,1.5796,4991954068,,
2011-07-29,1.6105,1.6491,1.4714,1.6336,3395372784,,
2011-08-31,1.6568,1.6607,1.3903,1.4483,4733984225,,
2011-09-30,1.4637,1.4792,0.981,0.9964,5035668470,,
2011-10-31,0.9655,1.5062,0.8728,1.371,5774976813,,
2011-11-30,1.3247,1.4367,1.1741,1.205,3890933951,,
2011-12-30,1.3131,1.3633,1.2204,1.2899,2753137551,,
2012-01-31,1.3131,1.5062,1.259,1.4792,2834139488,,
2012-02-29,1.4869,1.5371,1.4135,1.4907,3152915845,,
2012-03-30,1.483,1.4869,1.2474,1.2861,3208753128,,-0.091145
2012-04-30,1.2899,1.4251,1.2397,1.4251,2362065832,,-0.072449
2012-05-31,1.4251,1.4367,1.1702,1.2127,3220000017,,-0.099804
2012-06-29,1.1934,1.2709,1.1702,1.2587,2504618066,,-0.106014
2012-07-31,1.2791,1.3117,1.1772,1.2872,2254114639,,-0.101741
2012-08-31,1.275,1.3239,1.1569,1.165,2196657723,,-0.120128
2012-09-28,1.1528,1.2506,1.108,1.2302,3032113163,0.023515,-0.116247
2012-10-31,1.2302,1.3769,1.2302,1.3687,2753641770,0.01953,-0.083727
2012-11-30,1.3565,1.4176,1.3239,1.385,2478932692,-0.00111,-0.057259
2012-12-31,1.385,1.5765,1.3443,1.5602,2866446644,-0.026518,-0.004456
2013-01-31,1.5724,1.7312,1.5683,1.719,3226364372,-0.055236,0.060883
2013-02-28,1.715,1.8086,1.5765,1.6294,2175355065,-0.078624,0.084275
2013-03-28,1.6172,1.6457,1.4868,1.5154,2646884059,-0.081576,0.075068
2013-04-30,1.5154,1.5479,1.3728,1.5113,3172058831,-0.071773,0.066341
2013-05-31,1.5072,1.5846,1.4705,1.4828,2071691012,-0.059865,0.053398
2013-06-28,1.4828,1.495,1.2717,1.3842,3115444396,-0.029195,0.0244
2013-07-31,1.4058,1.4058,1.2977,1.3582,3233047987,0.008483,-0.000129
2013-08-30,1.3539,1.5356,1.3366,1.4404,2970067399,0.023883,-4.1e-05
2013-09-30,1.4577,1.6221,1.4577,1.5442,2849576604,0.018688,0.020238
2013-10-31,1.5702,1.6221,1.4967,1.6134,2251863130,0.008916,0.046361
2013-11-29,1.6221,1.7692,1.5529,1.7216,3079064484,-0.008978,0.083198
2013-12-31,1.7216,1.7562,1.6005,1.6481,2136133679,-0.0243,0.090639
2014-01-30,1.6524,1.6654,1.4318,1.4664,2570860395,-0.023744,0.057721
2014-02-28,1.4274,1.5226,1.4058,1.4231,2560934112,-0.013455,0.02641
2014-03-31,1.4058,1.4621,1.315,1.4621,4665742053,-0.000547,0.012991
2014-04-30,1.4664,1.5313,1.3885,1.4058,3148204349,0.018747,-0.007028
2014-05-30,1.4101,1.5096,1.3799,1.4967,2426622611,0.03439,-0.002137
2014-06-30,1.5356,1.6307,1.5269,1.5756,3572160963,0.034175,0.016464
2014-07-31,1.5848,1.7737,1.5802,1.746,3203131096,0.00682,0.06131
2014-08-29,1.7368,1.7598,1.6401,1.6493,2259854712,-0.009962,0.070001
2014-09-30,1.6493,1.7092,1.571,1.5848,2493219832,-0.014683,0.061261
2014-10-31,1.5571,1.6677,1.5571,1.6585,1776309436,-0.027886,0.068352
2014-11-28,1.6585,1.7046,1.5894,1.6953,2830893146,-0.033367,0.07835
2014-12-31,1.6907,1.8197,1.6493,1.8059,4617830035,-0.039416,0.104352
2015-01-30,1.8151,1.8888,1.6953,1.7506,3286237923,-0.026302,0.107754
2015-02-27,1.7276,1.8059,1.7138,1.7737,1867075126,-0.025045,0.111664
2015-03-31,1.7921,1.7967,1.6723,1.7691,2871354513,-0.028251,0.110406
2015-04-30,1.7783,2.0961,1.7691,2.0178,5999020697,-0.043509,0.15517
2015-05-29,2.027,2.0409,1.8796,1.9395,3910147788,-0.045689,0.164954
2015-06-30,1.9349,1.9902,1.852,1.9211,3956546922,-0.036876,0.163438
2015-07-31,1.9507,1.9507,1.6727,1.7068,4501876234,-0.017595,0.116462
2015-08-31,1.6971,1.7361,1.4971,1.5264,2974652934,0.012695,0.04779
2015-09-30,1.5118,1.541,1.3996,1.4289,3070411233,0.042487,-0.017037
2015-10-30,1.4386,1.6044,1.4337,1.5508,2140581519,0.07402,-0.034943
2015-11-30,1.5264,1.5752,1.4386,1.4484,2535069495,0.098612,-0.065611
2015-12-31,1.4581,1.6337,1.385,1.5459,3745167870,0.106968,-0.064827
2016-01-29,1.541,1.5459,1.2826,1.3411,3650751498,0.110958,-0.102531
2016-02-29,1.3557,1.3606,1.2192,1.2484,2100461831,0.105656,-0.142409
2016-03-31,1.2582,1.3996,1.2387,1.3606,2502902913,0.084152,-0.142748
2016-04-29,1.3655,1.4094,1.3167,1.3703,2289348255,0.075086,-0.13737
2016-05-31,1.3655,1.3947,1.2972,1.385,2165514997,0.058209,-0.127447
2016-06-30,1.385,1.4778,1.346,1.4778,2781324411,0.044897,-0.099615
2016-07-29,1.4935,1.5248,1.436,1.4882,1677996836,0.017829,-0.076929
2016-08-31,1.4987,1.6658,1.4987,1.6658,2428539305,-0.023424,-0.025602
2016-09-30,1.6606,1.8172,1.6449,1.7337,3688013385,-0.050966,0.021619
2016-10-31,1.7546,1.8016,1.6658,1.7076,1591676107,-0.068346,0.046637
2016-11-30,1.7076,1.7389,1.6188,1.6971,2120591504,-0.078569,0.059625
2016-12-30,1.7076,1.7441,1.6188,1.6606,1867616284,-0.075327,0.0594
2017-01-27,1.6606,1.7285,1.6449,1.7023,1263346989,-0.074101,0.065834
2017-02-28,1.7128,1.953,1.6762,1.8694,3852082847,-0.071254,0.100854
2017-03-31,1.8799,1.9269,1.8172,1.8694,3827851727,-0.062874,0.120975
2017-04-28,1.8851,1.906,1.8068,1.8747,2231985814,-0.057951,0.13193
2017-05-31,1.8747,1.9791,1.812,1.9739,2280902152,-0.061655,0.154942
2017-06-30,1.9739,1.9843,1.8538,1.9269,2968854715,-0.062731,0.156705
2017-07-31,1.9217,2.0392,1.8739,2.0117,2952779304,-0.06586,0.170299
2017-08-31,2.0061,2.0833,1.9235,2.0282,3408722888,-0.055824,0.177917
2017-09-29,2.0227,2.0337,1.929,1.929,2420697752,-0.039861,0.158918
2017-10-31,1.9676,2.0613,1.9565,2.0227,2882938484,-0.03386,0.160706
2017-11-30,2.0337,2.0557,1.9786,2.0006,2906175256,-0.019611,0.153388
2017-12-29,2.0117,2.0337,1.9621,2.0061,2255291628,-0.012497,0.145723
2018-01-31,2.0172,2.7667,2.0172,2.6455,7661327875,-0.048933,0.26152
2018-02-28,2.662,2.7171,2.2211,2.3975,4482232007,-0.055757,0.281608
2018-03-29,2.3699,2.6234,2.3038,2.4581,4953420502,-0.072188,0.299143
2018-04-30,2.4691,2.5187,2.3148,2.4581,2844715754,-0.076443,0.302759
2018-05-31,2.4581,2.5683,2.2994,2.3515,3167800545,-0.072107,0.276477
2018-06-29,2.3341,2.4615,2.0561,2.1256,3432590056,-0.0502,0.208223
2018-07-31,2.0909,2.2588,2.0214,2.2009,3173364551,0.009892,0.173163
2018-08-31,2.2067,2.2472,2.0909,2.2009,3099649033,0.036479,0.145899
2018-09-28,2.2009,2.2646,2.0619,2.2241,2258268785,0.058901,0.128925
2018-10-31,2.2009,2.2125,1.9403,1.9924,3891733966,0.092548,0.069418
2018-11-30,2.004,2.1314,1.9692,2.0503,3100842247,0.104174,0.040253
2018-12-31,2.114,2.114,1.9287,1.9866,2177266579,0.099115,0.00786
2019-01-31,1.975,2.1719,1.9403,2.1372,2349222460,0.088076,0.015959
2019-02-28,2.1546,2.2414,2.0735,2.1777,1908763581,0.075311,0.028693
2019-03-29,2.1777,2.2472,2.0966,2.0966,2457423074,0.0724,0.020418
2019-04-30,2.114,2.1835,2.0677,2.0966,3160126334,0.051546,0.014515
2019-05-31,2.0851,2.1024,1.9171,1.9461,3522348974,0.050753,-0.019014
2019-06-28,1.9461,2.0211,1.9403,2.0088,3102722485,0.039808,-0.028078
2019-07-31,2.0211,2.0395,1.9535,1.9597,1566286006,0.046043,-0.042799
2019-08-30,1.9474,1.9597,1.7999,1.8552,3082955268,0.061053,-0.071604
2019-09-30,1.8429,1.9658,1.8368,1.8859,1664495579,0.063029,-0.082468
2019-10-31,1.8798,2.0211,1.8491,1.9842,1502911031,0.056124,-0.068231
2019-11-29,1.9842,2.0579,1.9412,1.9474,1693757225,0.04143,-0.064383
2019-12-31,1.9597,2.1317,1.9289,2.1071,1794131822,0.022321,-0.029101
2020-01-31,2.1132,2.1501,1.8491,1.8552,1983954197,0.02287,-0.054507
2020-02-28,1.8429,1.9842,1.8245,1.9167,3746388720,0.010364,-0.057608
2020-03-31,1.9351,2.0027,1.6525,1.9105,4633838063,0.003528,-0.059333
2020-04-29,1.8675,2.0272,1.8491,2.0027,2219182020,-0.001242,-0.040951
2020-05-29,1.9412,1.9965,1.8491,1.9228,1743121445,-0.001572,-0.043516
2020-06-30,1.9781,1.9965,1.8798,1.9167,2234257776,0.010763,-0.045239
2020-07-31,1.9357,2.1195,1.8045,1.8045,2277585984,0.009361,-0.06704
2020-08-31,1.8111,1.8636,1.6995,1.6995,1598560014,0.02077,-0.09991
2020-09-30,1.7061,1.7126,1.5748,1.588,1650471572,0.037077,-0.14038
2020-10-30,1.5945,1.8701,1.5617,1.7192,2055679031,0.045914,-0.137455
2020-11-30,1.7258,2.0473,1.7192,1.9292,2199445978,0.029951,-0.091076
2020-12-31,1.9226,2.0145,1.7783,1.857,1474028277,0.022411,-0.072659
2021-01-29,1.8636,2.0211,1.8242,1.8373,2198221811,0.009352,-0.06265
2021-02-26,1.8439,1.9817,1.7914,1.8504,2368347114,-0.00963,-0.051972
2021-03-31,1.8504,2.1654,1.8242,2.0407,4493725265,-0.046728,-0.006616
2021-04-30,2.0473,2.067,1.9751,1.9817,2290064757,-0.059715,0.011514
2021-05-31,1.9817,2.0801,1.9423,2.067,3046544119,-0.059202,0.039604
2021-06-30,2.0539,2.0867,1.8817,1.91,3606539754,-0.051492,0.026231
2021-07-30,1.917,1.9241,1.8109,1.8322,2437772247,-0.04047,0.001711
2021-08-31,1.8322,1.8817,1.8039,1.8463,2430170812,-0.031582,-0.011509
2021-09-30,1.8463,1.9807,1.7968,1.8958,2780595510,-0.013704,-0.010152
2021-10-29,1.91,1.9241,1.8605,1.8746,1293753435,-0.002816,-0.013137
2021-11-30,1.8958,1.917,1.818,1.818,1871138628,0.016226,-0.02576
2021-12-31,1.8251,1.917,1.8251,1.8958,1679632158,0.012617,-0.018132
2022-01-31,1.917,2.108,1.9029,2.0939,1986060628,-0.011209,0.025884
2022-02-28,2.108,2.2283,2.0302,2.0939,2088163248,-0.028022,0.053793
2022-03-31,2.0939,2.1505,1.8817,2.1293,2939230486,-0.039265,0.077414
2022-04-29,2.1222,2.1717,2.0302,2.0939,1774261356,-0.046113,0.083846
2022-05-31,2.0939,2.1293,2.0232,2.1151,1988031042,-0.056495,0.089975
2022-06-30,2.1293,2.1293,2.0373,2.0939,2196451223,-0.056005,0.087487
2022-07-29,2.101,2.1151,1.9283,1.9977,2269823645,-0.03249,0.06486
2022-08-31,1.9977,2.0209,1.9438,1.9823,1447975078,-0.013016,0.045482
2022-09-30,1.9669,1.9823,1.7586,1.8126,1719164019,0.017472,-0.001341
