date,open,high,low,close,volume,mtm_hist,macd_hist
2018-11-16,2.15,2.21,1.61,1.64,33289000,,
2018-11-30,1.64,1.71,1.49,1.5,3283000,,
2018-12-14,1.45,1.52,1.21,1.23,2576273,,
2018-12-28,1.22,1.31,1.2,1.26,712151,,
2019-01-11,1.3,1.33,1.2,1.25,968500,,
2019-01-25,1.06,1.14,0.99,1.03,1285761,,
2019-02-08,1.0,1.12,0.99,1.04,499904,,
2019-02-22,1.01,1.68,0.97,1.53,22230541,,
2019-03-08,1.5,1.75,1.08,1.14,4840170,,
2019-03-22,1.1,1.13,1.02,1.12,650746,,
2019-04-04,1.1,1.11,1.0,1.08,289000,,
2019-04-18,1.08,1.2,1.02,1.1,774000,,
2019-05-03,1.06,1.47,1.05,1.47,2751000,,
2019-05-17,1.33,1.59,1.22,1.46,4904943,,
2019-05-31,1.59,2.28,1.42,2.2,7027400,,
2019-06-14,2.1,2.32,1.19,2.1,13151560,,
2019-06-28,2.06,2.56,1.98,2.44,7718595,,
2019-07-12,2.44,2.7,2.32,2.55,2232000,,
2019-07-26,2.58,2.58,2.4,2.4,384000,,
2019-08-09,2.4,2.4,2.0,2.23,1521000,,
2019-08-23,2.15,2.3,2.14,2.18,196665,,
2019-09-06,2.15,2.3,2.08,2.15,8047311,,
2019-09-20,2.15,2.16,1.9,1.95,392000,,
2019-10-04,1.85,1.89,1.85,1.87,1000,,
2019-10-18,1.87,1.98,1.69,1.95,239000,,
2019-11-01,1.96,2.09,1.96,2.0,79000,,
2019-11-15,1.9,1.9,1.9,1.9,3000,,
2019-11-29,1.9,1.9,1.85,1.85,0,,
2019-12-13,1.85,1.85,1.65,1.65,35000,,
2019-12-27,1.65,1.98,1.02,1.74,100505,,
2020-01-10,1.74,1.98,1.64,1.91,442000,,0.142446
2020-01-24,1.9,1.9,1.25,1.56,95000,-0.046056,0.068913
2020-02-07,1.7,1.75,1.07,1.74,182000,-0.024805,0.05862
2020-02-21,1.74,1.75,1.5,1.5,65575,-0.041257,-0.002891
2020-03-06,1.7,1.96,1.67,1.71,41000,-0.017948,0.002846
2020-03-20,1.71,1.82,1.11,1.82,2059872,-0.007093,0.03119
2020-04-03,1.82,2.19,1.48,2.05,702750,0.011336,0.100953
2020-04-17,2.02,2.02,2.0,2.0,0,0.003544,0.134705
2020-04-29,2.0,2.0,2.0,2.0,440000,0.001268,0.154902
2020-05-15,2.0,2.0,1.58,1.74,24000,-0.021464,0.107625
2020-05-29,1.51,2.09,1.51,1.75,428750,-0.017844,0.076276
