in_date,out_date
1995-09-19,1995-10-27
1995-12-09,1996-01-05
1996-02-23,1996-03-27
1996-04-05,1996-04-18
1996-05-01,1996-05-17
1996-06-05,1996-07-10
1996-08-29,1996-09-18
1996-10-08,1996-12-20
1997-01-13,1997-01-29
1997-02-22,1997-03-24
1997-04-15,1997-04-26
1997-06-10,1997-06-28
1997-07-02,1997-07-05
1997-08-09,1997-08-30
1997-11-22,1997-12-24
1998-02-09,1998-03-19
1998-04-07,1998-04-18
1998-06-18,1998-07-21
1998-09-04,1998-10-02
1998-10-26,1998-11-02
1998-11-27,1998-12-11
1999-02-22,1999-03-17
1999-03-26,1999-04-28
1999-08-17,1999-09-09
1999-09-28,1999-10-11
1999-11-22,1999-12-15
2000-01-06,2000-02-24
2000-03-29,2000-04-29
2000-06-02,2000-06-27
2000-07-13,2000-08-11
2000-09-29,2000-10-16
2000-11-03,2000-11-17
2000-12-07,2000-12-29
2001-01-10,2001-02-19
2001-02-26,2001-03-09
2001-03-28,2001-04-04
2001-06-12,2001-07-04
2001-08-13,2001-09-07
2001-10-22,2001-11-15
2001-11-20,2001-11-28
2001-12-06,2002-01-14
2002-03-01,2002-05-14
2002-05-30,2002-06-20
2002-08-23,2002-09-04
2002-10-18,2002-12-25
2003-01-14,2003-02-10
2003-03-18,2003-04-22
2003-05-26,2003-06-26
2003-07-22,2003-08-07
2003-08-29,2003-09-10
2003-10-03,2003-11-19
2003-12-22,2004-03-22
2004-04-14,2004-05-03
2004-06-07,2004-07-23
2004-08-26,2004-09-17
2004-10-06,2004-10-18
2004-11-12,2004-12-01
2004-12-09,2005-01-13
2005-02-24,2005-03-17
2005-05-06,2005-07-01
2005-11-03,2005-12-01
2005-12-20,2006-01-19
2006-03-30,2006-05-22
2006-06-30,2006-07-18
2006-08-02,2006-08-22
2006-09-12,2007-01-15
2007-02-14,2007-03-01
2007-03-29,2007-05-31
2007-06-21,2007-07-30
2007-08-23,2007-11-02
2007-12-28,2008-01-24
2008-02-22,2008-03-14
2008-04-10,2008-05-02
2008-05-20,2008-06-09
2008-11-03,2008-12-12
2009-02-18,2009-05-13
2009-06-30,2009-08-18
2009-09-08,2009-10-29
2009-11-17,2009-12-10
2009-12-28,2010-01-25
2010-02-24,2010-04-19
2010-05-14,2010-06-08
2010-06-14,2010-07-05
2010-07-06,2010-08-27
2010-09-27,2010-11-12
2010-12-07,2010-12-29
2011-01-03,2011-02-09
2011-03-04,2011-03-17
2011-03-23,2011-05-20
2011-06-29,2011-07-26
2011-09-16,2011-10-03
2011-10-18,2011-11-03
2011-12-23,2012-03-12
2012-07-03,2012-09-06
2012-09-21,2012-10-08
2012-11-26,2013-01-17
2013-03-11,2013-03-15
2013-03-29,2013-04-01
2013-04-03,2013-04-08
2013-04-22,2013-05-23
2013-07-11,2013-08-06
2013-08-30,2013-10-31
2013-11-26,2014-01-21
2014-02-27,2014-03-21
2014-03-28,2014-04-23
2014-07-18,2014-08-11
2014-08-28,2014-09-17
2014-10-31,2014-12-02
2014-12-08,2014-12-12
2014-12-26,2015-01-19
2015-04-27,2015-05-05
2015-08-10,2015-08-20
2015-09-10,2015-10-06
2015-10-19,2015-11-12
2015-12-17,2016-01-11
2016-01-28,2016-03-29
2016-04-21,2016-05-10
2016-05-26,2016-06-27
2016-07-01,2016-07-27
2016-08-23,2016-10-11
2016-11-08,2016-12-21
2017-01-18,2017-04-11
2017-06-07,2017-08-14
2017-08-25,2017-09-20
2017-10-17,2018-01-18
2018-03-31,2018-05-04
2018-07-27,2018-08-16
2018-09-19,2018-10-11
2018-11-26,2018-12-18
2019-01-28,2019-03-21
2019-05-28,2019-07-08
2019-07-10,2019-07-23
2019-09-04,2019-10-01
2019-10-24,2019-11-13
2019-12-12,2020-01-06
2020-04-08,2020-05-15
2020-06-04,2020-07-27
2020-08-11,2020-09-24
2020-10-22,2020-10-30
2020-11-09,2021-01-08
2021-02-17,2021-05-14
2021-06-07,2021-06-22
2021-07-06,2021-07-27
2021-08-30,2021-09-22
2021-11-08,2021-11-26
2021-12-22,2022-01-12
2022-03-10,2022-04-11
2022-05-30,2022-06-20
2022-08-12,2022-09-05
2022-09-30,2022-12-19
2023-01-12,2023-03-01
2023-04-14,2023-05-08
2023-06-05,2023-07-11
2023-07-28,2023-08-21
2023-09-06,2023-09-25
2023-11-02,2023-12-07
2023-12-26,2024-01-09
2024-02-16,2024-03-13
2024-04-10,2024-06-26
2024-09-19,2024-11-12
2024-11-26,2024-12-13
2025-01-20,2025-03-03
2025-03-13,2025-03-31
2025-05-09,2025-06-20
2025-07-15,2025-09-02
2025-10-01,2025-10-02
2025-10-03,2025-10-31
2025-11-11,2025-12-16
2026-01-14,2026-02-10
2026-03-03,2026-03-10
2026-03-16,2026-03-23
2026-04-15,2026-05-15
