in_date,out_date
1987-07-29,1987-10-21
1988-01-28,1988-10-22
1988-11-23,1989-11-07
1990-02-20,1990-04-09
1991-07-17,1991-12-26
1992-05-09,1992-07-29
1992-10-19,1992-10-27
1993-02-27,1993-04-28
1994-04-09,1995-03-04
1996-07-19,1996-12-13
1999-03-09,1999-05-31
2000-05-31,2000-12-29
2001-08-08,2001-12-11
2002-01-02,2003-03-21
2003-06-12,2004-05-05
2004-07-05,2004-10-27
2005-02-14,2005-08-08
2006-09-27,2007-01-26
2007-04-09,2007-08-17
2007-09-21,2008-06-09
2009-08-06,2010-07-01
2010-12-27,2011-06-20
2011-12-02,2011-12-28
2012-07-20,2012-11-01
2013-07-19,2013-11-14
2013-12-05,2014-08-14
2014-12-04,2015-02-03
2015-09-22,2015-12-15
2016-03-07,2016-06-13
2016-07-26,2016-09-30
2017-08-04,2018-10-12
2019-02-11,2019-05-13
2019-08-06,2022-01-25
2023-04-07,2023-08-14
2023-12-05,2024-01-12
2024-04-29,2024-06-17
2025-02-24,2025-12-23
2026-02-09,2026-05-27
