in_date,out_date
2000-04-06,2000-07-10
2000-07-29,2000-08-08
2001-03-09,2001-10-09
2001-12-05,2002-05-03
2003-06-05,2003-10-31
2004-03-12,2004-05-07
2005-01-17,2005-10-19
2005-12-26,2007-05-22
2007-06-01,2007-11-22
2009-01-17,2009-11-30
2010-12-29,2011-03-28
2011-09-29,2011-12-07
2012-02-09,2012-11-12
2013-01-18,2013-05-02
2013-05-14,2014-09-19
2015-10-29,2016-12-29
2017-12-08,2018-08-07
2019-03-13,2019-06-17
2019-07-19,2019-12-31
2020-02-03,2020-03-19
2020-05-19,2020-11-10
2021-03-03,2021-07-09
2021-12-07,2022-03-08
2022-11-07,2023-10-16
2024-01-03,2024-04-02
2025-02-03,2025-04-01
2026-04-23,2026-05-27
