in_date,out_date
1987-11-24,1989-07-14
1989-09-11,1990-03-23
1992-01-14,1992-04-01
1992-10-19,1992-11-14
1993-11-18,1995-11-02
1996-04-27,1996-11-19
1997-01-15,1998-05-26
1999-10-27,2001-01-09
2002-12-02,2003-04-03
2003-09-16,2005-03-15
2005-06-02,2005-11-30
2006-03-31,2007-03-14
2008-01-04,2009-03-12
2009-12-15,2011-03-17
2011-04-25,2012-03-20
2013-07-10,2014-02-05
2014-07-01,2014-10-17
2015-03-18,2015-07-15
2015-10-26,2016-04-25
2017-07-28,2019-08-12
2019-11-15,2020-06-02
2021-03-08,2026-03-17
