in_date,out_date
1990-04-27,1990-05-16
1991-03-15,1991-07-24
1992-01-06,1992-06-25
1992-10-05,1993-07-20
1993-08-17,1995-01-20
1995-04-08,1995-07-24
1996-04-09,1996-07-23
1996-11-13,1997-10-13
1998-02-12,1998-05-07
1998-11-21,2000-04-15
2001-12-05,2002-05-27
2003-06-05,2004-03-24
2005-05-20,2005-09-26
2006-03-01,2006-06-26
2006-10-18,2007-04-04
2007-07-06,2007-08-21
2008-05-16,2008-07-01
2009-03-18,2010-05-11
2010-10-28,2011-03-10
2011-10-28,2012-05-18
2013-05-08,2013-08-19
2014-03-12,2014-08-21
2014-12-03,2015-04-20
2015-10-23,2016-05-05
2016-07-14,2016-09-08
2017-02-16,2017-12-26
2018-04-19,2018-09-14
2019-05-07,2020-03-13
2020-06-04,2022-02-07
2022-11-11,2023-08-10
2023-11-13,2024-10-17
2025-05-02,2025-06-19
2025-09-30,2026-01-02
2026-01-27,2026-06-01
