in_date,out_date
1991-03-26,1991-12-06
1992-05-13,1992-07-29
1993-09-10,1993-10-22
1994-04-30,1995-04-17
1996-03-26,1997-05-15
1997-06-17,1998-03-24
1999-04-09,1999-06-29
2000-06-23,2000-07-21
2002-05-30,2003-02-27
2003-06-20,2003-09-15
2005-05-30,2005-09-02
2005-12-01,2006-01-25
2006-09-06,2007-10-02
2009-08-17,2010-02-23
2010-06-09,2011-08-01
2011-09-21,2012-01-02
2012-08-16,2012-09-06
2012-12-28,2013-01-17
2013-02-18,2013-03-22
2014-12-22,2015-03-13
2015-07-07,2015-12-15
2017-07-03,2017-09-04
2019-05-03,2021-08-31
2023-11-23,2024-01-18
