in_date,out_date
1996-06-18,1996-07-04
1996-08-03,1996-12-09
1997-01-21,1997-05-14
1997-07-04,1997-09-08
1998-02-02,1998-04-20
1998-07-20,1998-10-03
1998-11-05,1998-12-29
1999-03-16,1999-07-26
1999-10-18,1999-11-22
1999-12-27,2000-05-25
2001-01-31,2001-05-08
2001-11-06,2002-05-08
2002-08-13,2002-10-03
2002-11-07,2002-12-06
2003-01-28,2003-02-10
2003-06-06,2003-09-30
2004-01-12,2004-03-23
2004-08-30,2005-04-19
2005-06-17,2006-02-14
2006-04-20,2006-06-13
2006-09-18,2006-10-04
2006-10-27,2006-12-18
2006-12-21,2007-03-09
2007-06-20,2007-08-09
2007-09-28,2007-12-26
2008-08-15,2008-10-29
2008-12-15,2008-12-26
2009-03-10,2010-01-28
2010-07-19,2011-01-07
2011-01-17,2011-01-28
2011-06-01,2011-08-09
2011-11-16,2012-03-30
2012-06-29,2013-05-29
2013-09-02,2013-11-14
2014-04-07,2014-09-10
2015-01-16,2015-05-07
2015-09-17,2015-12-23
2016-02-03,2016-09-30
2016-11-30,2017-04-19
2017-05-03,2017-05-08
2017-07-24,2017-08-01
2017-12-28,2018-04-26
2018-07-26,2018-09-11
2018-09-14,2018-10-17
2018-11-12,2019-05-03
2019-07-11,2019-12-04
2020-05-04,2020-09-01
2020-11-24,2021-07-01
2021-09-22,2021-11-04
2022-01-25,2022-05-04
2022-08-02,2022-10-27
2023-01-17,2023-09-12
2023-12-26,2024-04-01
2024-05-24,2024-09-06
2024-11-04,2024-11-20
2024-11-25,2024-12-11
2025-01-02,2025-04-07
2025-06-12,2025-11-19
2026-03-11,2026-04-08
2026-04-16,2026-06-01
