in_date,out_date
1987-04-02,1987-06-04
1987-07-14,1987-10-15
1988-02-04,1988-03-21
1988-04-18,1988-05-27
1988-05-31,1988-06-23
1988-08-09,1988-10-12
1988-11-23,1988-12-17
1989-02-11,1989-06-05
1989-07-29,1989-09-04
1989-09-21,1989-10-07
1989-11-16,1989-12-11
1989-12-14,1990-03-02
1990-07-31,1990-08-22
1990-10-23,1990-12-17
1991-02-05,1991-05-15
1991-06-15,1991-07-15
1991-09-12,1991-10-23
1991-12-27,1992-03-19
1992-05-05,1992-05-07
1992-06-03,1992-06-09
1992-10-01,1992-12-03
1992-12-11,1992-12-16
1993-02-05,1993-03-22
1993-10-12,1993-11-26
1993-12-01,1994-02-14
1994-04-20,1994-05-25
1994-07-27,1994-09-09
1994-10-04,1994-10-07
1994-12-08,1995-01-26
1995-03-09,1995-03-22
1995-06-22,1995-07-31
1995-09-07,1995-10-19
1995-10-24,1995-10-30
1995-12-04,1996-01-12
1996-02-15,1996-05-18
1996-06-13,1996-07-03
1996-09-06,1997-05-12
1997-06-28,1997-09-23
1997-12-04,1998-01-13
1998-02-06,1998-03-24
1998-04-04,1998-04-20
1998-07-10,1998-08-06
1998-10-23,1998-12-17
1999-03-23,1999-05-17
1999-07-06,1999-07-17
1999-08-24,1999-10-01
1999-10-30,1999-11-23
2000-01-07,2000-03-02
2000-05-26,2000-08-16
2000-10-06,2000-10-21
2000-10-27,2001-03-01
2001-08-14,2001-10-02
2001-10-15,2002-02-20
2002-04-04,2002-05-22
2002-05-23,2002-08-16
2002-10-02,2003-02-10
2003-03-26,2003-04-22
2003-06-12,2003-07-25
2003-07-28,2003-08-12
2003-09-04,2003-09-09
2003-10-09,2003-11-26
2004-01-12,2004-03-24
2004-07-01,2004-07-26
2004-08-27,2004-10-26
2004-12-24,2005-03-29
2005-06-09,2005-07-21
2005-07-22,2005-08-30
2005-10-11,2006-01-03
2006-04-17,2006-07-12
2006-09-22,2007-01-09
2007-04-04,2007-05-11
2007-06-20,2007-08-13
2007-10-02,2007-11-12
2008-01-07,2008-04-03
2008-12-10,2009-01-21
2009-02-25,2009-06-16
2009-07-28,2009-08-06
2009-09-16,2009-11-03
2010-03-10,2010-05-05
2010-06-22,2010-11-17
2011-01-04,2011-01-17
2011-02-17,2011-02-24
2011-04-21,2011-08-05
2011-10-19,2011-11-29
2012-01-11,2012-03-19
2012-05-30,2012-07-19
2012-08-07,2012-10-16
2012-12-04,2013-01-23
2013-05-13,2013-06-14
2013-07-15,2013-08-26
2013-09-06,2013-11-07
2013-12-23,2014-02-07
2014-05-30,2014-08-06
2014-09-02,2014-09-12
2014-11-11,2015-01-07
2015-09-07,2015-11-17
2016-02-26,2016-04-15
2016-07-01,2016-08-22
2016-10-12,2016-10-27
2016-12-08,2017-04-07
2017-05-25,2017-07-18
2017-09-05,2017-10-18
2018-01-02,2018-02-21
2018-03-08,2018-03-23
2018-05-14,2018-06-19
2018-07-31,2018-09-12
2018-09-17,2018-10-15
2018-12-04,2019-01-10
2019-02-19,2019-05-06
2019-05-17,2019-08-14
2019-12-17,2020-02-03
2020-02-12,2020-03-13
2020-05-19,2020-07-27
2020-08-12,2020-09-14
2020-11-19,2020-12-11
2020-12-25,2021-02-03
2021-03-24,2021-05-04
2021-06-23,2021-08-05
2021-09-15,2021-11-04
2022-01-10,2022-01-25
2022-04-20,2022-05-12
2022-05-16,2022-07-07
2022-09-15,2023-03-15
2023-04-28,2023-05-09
2023-05-17,2023-06-27
2023-08-31,2023-10-19
2024-04-11,2024-04-19
2024-05-02,2024-06-14
2024-09-19,2024-11-12
2025-02-17,2025-03-19
2025-07-30,2025-09-10
2025-09-16,2025-10-15
2025-11-02,2025-11-04
2025-11-17,2025-12-15
2025-12-19,2025-12-30
2026-05-12,2026-05-27
