in_date,out_date
1995-09-26,1995-10-16
1995-11-27,1996-01-29
1996-02-24,1996-05-09
1996-06-01,1996-07-16
1996-08-13,1996-08-20
1996-08-29,1996-12-19
1997-01-14,1997-03-31
1997-04-16,1997-05-03
1997-06-10,1997-07-16
1997-08-22,1997-09-15
1997-11-21,1998-01-07
1998-02-06,1998-04-18
1998-06-22,1998-07-31
1998-10-21,1998-11-11
1998-11-19,1998-12-14
1999-03-06,1999-05-19
1999-07-05,1999-07-16
1999-08-18,1999-09-28
2000-01-05,2000-03-13
2000-04-05,2000-04-17
2000-06-08,2000-06-22
2000-12-13,2001-04-09
2001-08-17,2001-09-10
2001-11-15,2002-05-06
2002-06-05,2002-06-26
2002-07-31,2002-08-06
2002-10-22,2002-12-31
2003-01-16,2003-02-13
2003-04-07,2003-04-25
2003-05-26,2003-09-26
2003-10-20,2003-12-18
2004-01-05,2004-03-23
2004-04-15,2004-04-29
2004-08-26,2004-10-19
2004-12-16,2005-01-21
2005-02-22,2005-03-16
2005-06-14,2005-09-16
2005-11-14,2006-01-23
2006-04-03,2006-05-30
2006-07-04,2006-07-25
2006-09-25,2007-01-15
2007-03-15,2007-05-03
2007-05-30,2007-08-16
2007-09-10,2007-10-18
2008-01-15,2008-01-28
2008-02-22,2008-05-05
2008-05-28,2008-05-29
2008-12-01,2008-12-25
2009-02-18,2009-06-15
2009-07-08,2009-08-27
2009-09-14,2010-01-26
2010-03-04,2010-05-06
2010-06-21,2010-09-01
2010-09-28,2011-01-25
2011-02-22,2011-06-16
2011-07-11,2011-08-08
2011-10-27,2011-11-22
2012-01-18,2012-04-03
2012-05-04,2012-05-24
2012-06-19,2012-07-12
2012-08-14,2012-08-29
2012-09-19,2012-10-12
2012-11-28,2013-03-22
2013-04-19,2013-06-07
2013-07-11,2014-04-25
2014-05-28,2014-07-11
2014-09-01,2014-09-16
2014-11-25,2015-01-19
2015-01-29,2015-03-30
2015-04-27,2015-05-14
2015-09-09,2015-11-13
2016-01-29,2016-05-04
2016-05-30,2016-10-12
2016-12-08,2017-04-13
2017-05-12,2017-07-12
2017-07-31,2017-08-16
2017-08-30,2017-09-29
2017-10-20,2017-11-16
2017-11-23,2017-12-07
2017-12-11,2018-02-06
2018-03-08,2018-04-27
2018-06-06,2018-06-14
2018-09-26,2018-10-12
2018-11-16,2018-12-20
2019-01-17,2019-05-06
2019-06-28,2019-08-02
2019-09-11,2019-10-08
2019-10-25,2020-02-27
2020-04-14,2020-07-02
2020-07-16,2020-09-24
2020-10-21,2021-05-06
2021-06-18,2021-07-23
2021-09-16,2021-10-05
2021-10-27,2021-11-15
2021-11-18,2022-01-14
2022-02-21,2022-03-08
2022-03-22,2022-04-18
2022-05-27,2022-07-04
2022-08-17,2022-09-08
2022-11-08,2023-08-01
2023-10-03,2023-10-24
2023-11-16,2024-01-17
2024-01-30,2024-05-15
2024-06-14,2024-07-23
2024-09-23,2024-10-29
2024-12-24,2025-01-15
2025-02-12,2025-03-11
2025-05-06,2025-07-08
2025-07-29,2025-11-18
2025-12-12,2026-03-09
2026-04-14,2026-05-29
