in_date,out_date
1996-05-18,1997-12-31
1998-04-14,1998-05-15
1998-08-10,1998-09-01
1998-11-23,1999-01-06
1999-04-01,2000-03-01
2000-04-11,2000-06-23
2001-06-12,2001-09-19
2001-10-30,2002-08-14
2003-12-04,2004-03-24
2004-04-22,2004-09-24
2005-01-24,2005-02-01
2005-05-12,2005-07-28
2006-04-13,2006-08-03
2006-08-21,2007-09-12
2007-11-01,2007-12-26
2008-04-30,2008-06-17
2009-04-29,2009-09-10
2009-09-15,2011-05-24
2011-06-15,2011-06-28
2011-10-21,2011-11-24
2012-03-19,2012-04-18
2012-07-09,2012-10-16
2012-12-10,2013-03-06
2013-05-13,2013-12-26
2014-06-06,2014-12-17
2015-01-21,2015-05-04
2016-02-17,2018-09-19
2018-11-20,2020-04-07
2020-08-27,2021-02-18
2021-04-09,2021-12-29
2022-11-25,2023-05-09
2023-06-30,2024-07-31
2024-09-30,2025-11-27
2025-12-05,2026-01-07
2026-01-26,2026-02-25
