in_date,out_date
2000-07-29,2000-08-04
2000-11-27,2001-01-10
2001-10-31,2002-01-02
2002-03-26,2002-05-22
2002-08-23,2002-10-03
2002-11-20,2003-01-16
2003-05-06,2003-05-14
2003-07-10,2003-11-14
2003-12-18,2004-05-06
2004-07-13,2004-08-26
2004-09-09,2004-10-26
2004-12-08,2005-01-18
2005-03-29,2005-05-16
2005-05-25,2005-07-05
2005-12-02,2006-01-10
2006-04-17,2006-08-15
2006-09-22,2007-01-10
2007-02-26,2007-05-29
2007-06-25,2007-08-16
2007-10-02,2007-11-23
2007-12-31,2008-05-05
2008-05-19,2008-06-09
2008-12-19,2009-02-11
2009-03-17,2009-07-31
2009-09-11,2009-10-30
2010-01-05,2010-01-27
2010-03-31,2010-05-05
2010-06-24,2010-12-27
2011-04-15,2011-08-08
2011-11-07,2011-12-15
2012-01-13,2012-04-05
2012-06-27,2012-10-22
2012-11-30,2013-03-19
2013-05-06,2013-06-06
2013-07-15,2013-10-16
2014-03-03,2014-04-29
2014-07-31,2014-09-15
2014-11-24,2015-01-20
2015-04-16,2015-05-29
2015-07-23,2015-08-28
2015-09-02,2015-11-25
2016-02-25,2016-05-16
2016-07-12,2016-10-18
2016-11-30,2017-07-03
2018-01-03,2018-02-22
2018-03-15,2018-05-04
2018-05-17,2018-06-21
2018-07-27,2018-12-11
2019-01-18,2019-03-12
2019-04-25,2019-08-07
2019-10-18,2020-02-06
2020-04-08,2020-08-03
2020-09-08,2020-09-30
2020-11-11,2021-01-22
2021-03-17,2021-05-13
2021-06-21,2021-09-27
2021-10-27,2021-12-06
2022-02-07,2022-05-12
2022-06-24,2022-07-18
2022-08-01,2022-09-14
2022-12-02,2023-03-23
2023-04-28,2023-07-18
2023-09-18,2023-12-13
2024-03-21,2024-08-05
2024-12-10,2025-03-20
2025-06-05,2025-07-17
2025-09-12,2025-10-07
2025-11-26,2026-01-30
2026-03-20,2026-04-30
