in_date,out_date
1989-12-01,1990-01-13
1990-03-31,1991-03-16
1991-09-14,1991-09-21
1992-03-21,1992-11-28
1993-01-16,1993-02-13
1993-05-15,1993-10-23
1994-10-08,1994-12-31
1995-04-29,1995-06-24
1995-08-19,1996-02-24
1997-05-03,1998-11-27
1998-12-24,1998-12-31
1999-01-08,1999-04-17
1999-11-06,1999-12-28
2000-04-15,2000-12-22
2001-04-13,2001-12-14
2002-02-06,2002-03-29
2002-08-30,2002-11-15
2003-04-25,2003-08-15
2004-05-07,2004-09-24
2005-04-15,2005-08-04
2007-12-21,2008-02-01
2008-06-27,2009-03-27
2009-12-18,2010-07-30
2011-02-25,2011-04-08
2011-09-23,2012-02-10
2012-05-18,2012-06-15
2013-03-22,2013-05-03
2013-06-21,2013-07-26
2014-02-07,2014-05-09
2014-12-12,2015-04-02
2015-05-15,2015-10-23
2015-11-13,2016-03-25
2016-04-08,2016-04-15
2016-05-06,2016-07-15
2016-10-21,2016-10-28
2016-12-23,2017-02-10
2017-05-19,2017-11-10
2018-10-26,2019-03-22
2020-03-06,2020-08-21
2020-10-16,2020-11-13
2021-01-22,2021-03-05
2021-08-27,2022-02-11
2022-05-20,2022-08-19
2022-09-30,2022-12-16
2023-07-21,2023-11-24
2024-02-02,2024-03-22
2024-12-06,2025-03-28
2025-05-29,2026-05-21
