in_date,out_date
1987-05-25,1987-06-19
1987-08-19,1987-12-05
1988-02-09,1988-05-13
1988-09-05,1988-10-22
1989-02-20,1989-07-11
1989-08-18,1989-12-04
1990-02-13,1990-04-16
1991-02-19,1991-08-22
1992-01-11,1992-04-02
1993-02-20,1993-05-22
1993-09-17,1995-01-24
1996-03-21,1996-07-23
1996-10-14,1996-12-10
1997-02-01,1997-05-12
1997-08-13,1997-09-17
1997-12-23,1998-02-10
1998-03-17,1998-05-07
1998-10-09,1998-12-14
1999-03-12,1999-06-29
2000-01-21,2000-05-04
2001-01-29,2001-04-12
2001-12-14,2002-09-04
2002-11-08,2003-03-18
2003-06-17,2004-04-30
2004-09-16,2005-03-11
2006-02-20,2006-07-18
2006-09-06,2007-09-07
2008-02-29,2008-06-12
2009-03-31,2010-05-11
2010-07-14,2011-03-09
2011-05-03,2011-06-15
2011-08-01,2011-08-12
2012-02-16,2012-05-10
2012-08-16,2014-03-03
2014-08-22,2014-12-12
2015-04-20,2015-06-15
2016-03-07,2016-06-02
2016-06-29,2017-05-19
2017-07-19,2017-11-21
2018-03-16,2018-12-14
2019-03-11,2019-05-13
2019-06-28,2019-08-12
2019-11-18,2021-01-27
2021-03-30,2021-08-17
2022-02-11,2022-04-07
2022-12-05,2023-08-22
2023-12-05,2024-01-30
2024-06-25,2024-07-26
2025-08-06,2025-10-07
2025-11-24,2026-01-13
2026-03-03,2026-05-26
