in_date,out_date
1996-04-16,1996-07-20
1996-09-02,1997-10-06
1998-02-04,1998-05-13
1998-11-24,1999-02-08
1999-03-20,2000-05-30
2001-11-21,2002-05-23
2003-06-09,2003-12-17
2004-02-13,2004-05-07
2004-12-17,2005-10-19
2005-11-30,2006-06-14
2006-08-30,2007-11-22
2008-04-23,2008-06-19
2009-03-12,2010-02-25
2010-04-23,2010-05-21
2010-08-09,2011-03-17
2011-06-08,2011-06-22
2012-02-06,2012-05-17
2012-09-07,2012-11-05
2012-12-10,2013-07-10
2013-10-04,2013-11-18
2013-12-30,2014-10-02
2014-12-05,2015-06-08
2016-03-03,2016-05-10
2016-06-15,2016-12-28
2017-02-10,2017-12-12
2018-06-13,2018-07-05
2018-08-09,2018-09-13
2019-02-21,2019-05-30
2019-07-12,2020-03-12
2020-06-02,2021-08-20
2021-11-24,2022-03-08
2022-11-30,2025-03-12
2025-06-17,2026-06-01
