in_date,out_date
2003-09-24,2004-03-15
2004-03-29,2004-07-27
2004-11-15,2005-01-10
2005-01-31,2006-08-24
2006-12-25,2007-11-09
2009-06-16,2010-05-10
2010-07-20,2010-08-31
2010-10-20,2011-10-24
2012-12-04,2013-11-12
2013-11-26,2014-12-15
2015-02-10,2015-11-10
2016-05-25,2018-03-05
2018-03-31,2018-05-10
2018-08-24,2019-01-02
2019-06-24,2021-11-04
2021-11-25,2022-05-30
2023-02-22,2023-07-10
2023-09-05,2024-11-29
2024-12-27,2026-06-01
