in_date,out_date
2004-03-18,2004-04-21
2005-08-31,2006-07-04
2006-10-04,2008-02-22
2008-05-26,2008-08-01
2009-06-24,2010-03-26
2010-08-27,2011-04-29
2011-06-30,2011-09-20
2012-03-13,2012-07-03
2013-03-08,2013-05-28
2013-10-09,2014-01-13
2014-05-30,2014-12-24
2016-01-13,2017-10-25
2018-04-09,2018-06-12
2018-09-05,2018-11-09
2019-03-18,2020-04-14
2020-07-28,2020-11-13
2021-01-05,2021-06-17
2021-12-15,2022-06-10
2022-09-13,2023-11-21
2024-03-13,2024-08-23
2024-12-05,2025-02-13
2025-07-02,2026-04-20
