in_date,out_date
1998-07-18,1999-02-06
1999-05-07,1999-11-06
1999-12-10,2000-05-06
2001-03-02,2001-05-11
2001-08-31,2001-12-21
2003-01-28,2003-02-27
2003-08-29,2004-08-06
2005-02-18,2007-12-21
2008-01-18,2008-07-18
2009-05-15,2010-02-06
2010-04-02,2012-02-10
2012-08-03,2012-10-12
2012-12-22,2014-02-14
2014-04-03,2015-04-17
2015-10-23,2015-12-25
2016-02-03,2016-12-09
2017-03-24,2018-12-28
2019-10-25,2020-03-13
2020-06-24,2020-07-10
2021-03-12,2021-05-28
2021-08-06,2022-01-14
2022-05-06,2022-11-04
2023-03-31,2023-09-22
2023-12-29,2024-11-22
