in_date,out_date
1996-11-08,1996-11-22
1996-12-28,1997-04-22
1997-06-10,1997-06-19
1997-07-03,1997-08-05
1997-10-14,1997-11-03
1997-12-16,1997-12-30
1998-02-09,1998-04-18
1998-07-04,1998-08-15
1998-09-22,1998-11-19
1998-11-24,1998-11-26
1999-01-16,1999-02-02
1999-03-08,1999-04-08
1999-05-03,1999-08-06
1999-08-23,1999-10-12
1999-10-26,1999-11-10
1999-11-30,1999-12-23
1999-12-28,2000-01-28
2000-02-14,2000-03-07
2000-04-07,2000-04-28
2000-07-31,2000-08-09
2001-02-02,2001-04-18
2001-04-30,2001-05-03
2001-06-18,2001-07-10
2001-08-14,2001-09-25
2001-10-29,2002-01-21
2002-01-23,2002-04-03
2002-05-29,2002-06-04
2002-08-28,2002-11-18
2003-04-21,2003-05-13
2003-06-11,2003-09-12
2003-10-03,2003-10-31
2003-12-15,2004-03-04
2004-03-10,2004-03-16
2004-04-23,2004-05-12
2004-06-03,2004-06-17
2004-06-24,2004-07-30
2004-09-29,2004-11-04
2004-11-24,2005-01-19
2005-02-22,2005-04-19
2005-04-25,2005-05-04
2005-05-23,2005-10-28
2005-11-21,2006-02-13
2006-02-22,2006-02-23
2006-03-08,2006-06-22
2006-07-11,2006-07-20
2006-08-11,2006-11-17
2006-12-12,2007-02-26
2007-04-03,2007-05-03
2007-05-25,2007-07-31
2007-08-24,2007-10-23
2007-10-26,2007-11-19
2008-03-04,2008-03-25
2008-04-17,2008-05-13
2008-07-29,2008-07-31
2008-08-18,2008-09-08
2008-12-24,2009-02-02
2009-02-24,2009-05-04
2009-05-19,2009-06-23
2009-07-13,2009-08-11
2009-09-16,2009-12-08
2009-12-22,2010-02-06
2010-04-19,2010-05-18
2010-06-29,2010-07-16
2010-07-29,2010-08-26
2010-09-29,2010-10-20
2010-11-12,2011-01-12
2011-01-27,2011-02-25
2011-04-12,2011-05-26
2011-06-08,2011-06-27
2011-07-07,2011-07-08
2011-07-29,2011-08-15
2011-09-15,2011-09-29
2011-10-05,2011-11-28
2012-01-05,2012-03-21
2012-06-01,2012-07-30
2012-08-24,2012-10-09
2012-12-10,2012-12-24
2013-04-03,2013-04-23
2013-05-10,2013-06-10
2013-07-26,2013-10-02
2013-10-04,2013-10-18
2013-12-12,2014-02-18
2014-03-11,2014-05-14
2014-06-20,2014-08-13
2014-09-02,2014-12-23
2015-01-26,2015-02-03
2015-03-27,2015-07-28
2015-09-02,2015-09-07
2015-09-15,2015-10-14
2016-02-17,2016-05-10
2016-06-01,2016-11-08
2016-12-19,2017-03-14
2017-03-27,2017-04-13
2017-05-11,2017-06-03
2017-07-04,2017-09-11
2017-10-24,2017-11-24
2018-01-23,2018-02-21
2018-05-28,2018-05-30
2018-06-12,2018-06-29
2018-07-30,2018-09-25
2018-11-06,2018-11-13
2019-02-27,2019-05-21
2019-06-18,2019-08-16
2019-08-28,2019-10-16
2019-10-25,2020-01-09
2020-04-21,2020-05-29
2020-06-11,2020-07-30
2020-08-06,2020-08-10
2020-09-17,2020-10-06
2020-11-19,2021-02-25
2021-03-26,2021-04-19
2021-06-04,2021-07-26
2021-08-26,2021-09-15
2021-10-06,2021-10-22
2021-11-01,2021-11-30
2022-01-07,2022-02-08
2022-02-25,2022-03-21
2022-08-02,2022-09-22
2022-11-23,2023-01-03
2023-01-12,2023-03-23
2023-04-12,2023-04-28
2023-06-07,2023-07-12
2023-07-28,2023-08-07
2023-08-10,2023-08-18
2023-09-18,2023-09-28
2023-10-05,2023-10-11
2023-11-30,2023-12-20
2024-01-03,2024-01-22
2024-03-28,2024-04-23
2024-05-09,2024-07-04
2024-07-05,2024-07-17
2024-09-02,2024-09-16
2024-10-01,2024-12-03
2025-01-21,2025-02-06
2025-02-27,2025-03-18
2025-04-30,2025-05-27
2025-05-29,2025-06-04
2025-06-20,2025-07-07
2025-08-04,2025-09-04
2025-10-09,2025-10-14
2025-10-16,2025-10-27
2025-10-31,2025-11-06
2025-11-12,2025-11-20
2026-01-05,2026-01-21
2026-02-23,2026-03-11
2026-04-20,2026-04-27
2026-05-18,2026-05-28
