in_date,out_date
1988-11-05,1990-11-03
1991-07-27,1992-01-11
1993-06-12,1993-11-11
1994-04-09,1995-10-21
1996-08-24,1998-11-21
1999-09-10,2001-02-02
2002-05-31,2002-11-29
2003-12-12,2004-09-24
2005-04-01,2009-01-17
2009-12-11,2012-01-06
2013-06-21,2015-11-13
2016-11-18,2019-02-15
2019-07-19,2022-12-02
2023-09-01,2026-06-01
