in_date,out_date
1995-10-21,1996-01-06
1996-01-22,1996-02-23
1996-05-03,1996-07-18
1996-08-12,1996-09-04
1996-10-21,1997-06-10
1997-08-12,1997-09-03
1998-02-23,1998-06-24
1998-10-30,1998-12-17
1999-05-03,1999-07-05
2000-03-02,2000-04-24
2000-05-17,2000-05-26
2000-12-16,2001-03-01
2001-12-31,2002-06-03
2002-07-19,2002-07-26
2002-12-03,2003-03-31
2003-05-14,2003-05-19
2003-05-23,2004-05-31
2004-08-19,2005-01-12
2005-02-17,2005-03-21
2005-05-06,2005-05-16
2006-01-12,2006-05-23
2006-06-27,2006-07-21
2006-11-10,2007-06-15
2007-08-15,2007-12-28
2008-04-18,2008-07-25
2008-12-23,2009-02-23
2009-04-29,2009-08-11
2009-09-16,2009-10-01
2009-11-24,2009-12-11
2010-03-04,2011-03-31
2011-12-28,2012-05-21
2012-08-17,2012-10-12
2012-11-27,2013-05-09
2013-07-16,2013-08-07
2013-09-05,2013-10-15
2013-11-28,2014-03-24
2014-10-07,2015-04-23
2015-12-23,2016-01-11
2016-02-17,2016-03-29
2016-09-05,2016-09-14
2017-01-09,2017-05-25
2017-07-26,2017-09-19
2017-10-30,2017-11-09
2018-01-24,2018-03-30
2018-07-23,2018-08-16
2018-09-21,2019-09-20
2019-12-18,2020-09-22
2020-10-07,2021-09-08
2022-01-03,2022-03-24
2022-04-20,2022-05-12
2023-01-09,2023-03-21
2023-04-18,2023-07-03
2023-11-07,2024-03-22
2024-04-16,2024-09-05
2024-11-14,2025-03-31
2025-05-06,2025-06-10
2025-10-30,2025-11-05
2026-02-24,2026-05-15
