in_date,out_date
1989-11-18,1990-11-10
1991-08-10,1992-04-25
1992-05-09,1992-10-17
1993-04-17,1993-10-16
1994-05-21,1995-11-18
1996-10-24,1997-12-06
2000-04-01,2000-12-30
2002-06-28,2003-03-21
2003-07-04,2003-09-12
2004-01-16,2005-06-24
2006-03-03,2008-08-01
2009-09-25,2010-10-22
2011-02-25,2012-04-13
2012-08-03,2012-11-09
2012-12-14,2013-10-11
2014-04-18,2014-05-09
2014-06-27,2014-10-03
2016-08-19,2018-08-31
2018-10-05,2019-02-22
2019-04-03,2019-08-16
2019-09-12,2022-05-06
2022-06-17,2022-11-11
2023-07-28,2025-05-23
2026-05-29,2026-06-01
