in_date,out_date
1987-06-11,1990-07-28
1991-06-05,1991-10-05
1993-04-13,1993-09-02
1994-01-28,1994-08-02
1995-03-17,1995-06-14
1996-05-28,1997-06-30
2000-03-13,2000-06-07
2002-05-17,2002-11-12
2003-02-27,2003-07-15
2003-12-04,2004-06-29
2004-11-01,2005-06-10
2005-09-07,2008-11-12
2009-06-03,2010-04-02
2010-10-27,2011-11-07
2012-09-03,2015-02-25
2016-09-19,2017-06-26
2017-09-11,2017-11-15
2018-03-05,2018-12-18
2019-05-24,2022-02-08
2023-03-31,2023-11-17
2024-08-16,2024-11-01
2026-03-18,2026-05-26
