in_date,out_date
1997-05-20,1997-09-06
1997-12-10,1998-03-13
1998-06-24,1998-08-14
1998-10-31,1999-01-22
1999-04-12,1999-07-31
1999-12-21,2000-02-25
2000-06-17,2000-08-07
2001-01-30,2001-05-02
2001-11-08,2002-05-02
2002-08-23,2002-09-05
2002-09-16,2002-10-07
2002-12-10,2002-12-18
2003-03-27,2003-04-30
2003-06-10,2003-11-11
2004-02-12,2004-05-06
2004-08-27,2004-09-09
2005-01-04,2005-03-22
2005-06-08,2005-11-08
2005-11-29,2006-02-24
2006-05-03,2007-02-01
2007-06-22,2007-08-15
2008-02-26,2008-06-10
2008-08-08,2008-09-30
2009-02-13,2009-10-02
2009-12-30,2010-02-03
2010-04-02,2010-05-07
2010-06-24,2010-07-02
2010-07-07,2010-09-03
2010-12-07,2011-02-16
2011-06-08,2011-07-20
2011-08-02,2011-08-05
2011-10-24,2011-11-01
2011-12-26,2012-04-06
2012-08-09,2012-10-30
2013-01-10,2013-03-15
2013-05-09,2013-11-07
2014-01-20,2014-04-16
2014-07-03,2014-08-15
2014-12-05,2015-04-01
2015-10-08,2016-03-24
2016-06-07,2016-11-10
2017-01-23,2017-04-17
2017-05-17,2017-08-28
2017-12-18,2018-02-07
2018-05-21,2018-10-09
2019-01-24,2019-05-09
2019-07-01,2019-08-07
2019-11-06,2020-02-05
2020-04-13,2020-08-07
2020-11-17,2021-02-05
2021-02-24,2021-05-17
2021-08-26,2021-11-26
2022-03-03,2022-03-08
2022-04-21,2022-06-22
2022-08-08,2022-09-01
2022-10-20,2023-09-08
2023-12-14,2024-04-22
2024-07-17,2024-07-29
2024-10-25,2025-02-04
2025-06-13,2025-08-20
2025-09-18,2025-11-07
2025-12-08,2025-12-19
2026-01-22,2026-03-09
2026-04-17,2026-05-26
