in_date,out_date
1995-11-29,1996-01-05
1996-03-02,1996-05-21
1996-06-11,1996-07-17
1996-09-10,1996-10-21
1996-11-19,1997-01-06
1997-01-22,1997-03-26
1997-04-14,1997-05-09
1997-06-03,1997-07-25
1997-08-21,1997-09-24
1997-11-22,1998-01-07
1998-02-06,1998-04-17
1998-06-19,1998-08-01
1998-09-19,1998-11-10
1999-03-01,1999-05-13
1999-07-03,1999-07-21
1999-08-20,1999-09-27
2000-01-07,2000-03-07
2000-04-07,2000-04-19
2000-08-03,2000-08-25
2000-12-14,2001-04-04
2001-06-19,2001-07-10
2001-08-16,2001-09-21
2001-11-01,2001-12-03
2001-12-07,2002-02-26
2002-03-15,2002-07-01
2002-07-25,2002-09-05
2002-10-18,2002-11-28
2002-12-18,2002-12-30
2003-01-16,2003-02-13
2003-03-21,2003-04-22
2003-05-26,2003-07-04
2003-07-24,2003-08-29
2003-10-03,2003-11-27
2004-01-05,2004-03-24
2004-07-01,2004-08-11
2004-08-30,2004-09-27
2004-11-25,2005-01-21
2005-03-01,2005-03-23
2005-06-06,2005-07-08
2005-11-18,2006-01-20
2006-04-06,2006-06-06
2006-07-03,2006-07-19
2006-08-09,2006-08-28
2006-09-19,2007-01-11
2007-03-01,2007-03-05
2007-03-29,2007-10-18
2008-01-14,2008-02-14
2008-02-21,2008-05-02
2009-02-13,2009-06-17
2009-07-15,2009-08-20
2009-09-08,2010-01-22
2010-03-08,2010-05-05
2010-06-21,2010-11-02
2010-12-07,2011-02-11
2011-03-17,2011-08-05
2011-09-09,2011-09-26
2011-10-18,2011-11-16
2012-01-09,2012-04-02
2012-05-03,2012-05-25
2012-06-15,2012-09-06
2012-09-25,2012-10-18
2012-11-29,2013-01-17
2013-02-05,2013-05-24
2013-07-04,2013-08-13
2013-09-25,2013-11-01
2013-12-04,2014-02-07
2014-02-27,2014-03-21
2014-03-28,2014-05-02
2014-10-30,2014-12-19
2014-12-26,2015-03-03
2015-04-29,2015-05-19
2015-09-15,2015-11-13
2016-02-01,2016-05-06
2016-07-20,2016-09-01
2016-12-13,2017-03-27
2017-06-05,2017-07-26
2017-09-08,2017-10-17
2018-01-05,2018-02-06
2018-03-15,2018-04-02
2018-06-06,2018-07-02
2018-07-26,2018-08-27
2018-09-21,2018-10-11
2018-12-03,2018-12-28
2019-01-11,2019-03-27
2019-06-21,2019-08-01
2019-08-27,2019-11-13
2020-01-15,2020-02-04
2020-04-29,2020-07-27
2020-08-17,2020-09-24
2020-10-22,2021-01-06
2021-02-22,2021-05-13
2021-06-10,2021-07-08
2021-12-08,2022-01-14
2022-06-08,2022-07-01
2022-08-01,2022-09-06
2022-09-15,2022-10-03
2022-11-17,2022-12-23
2023-01-17,2023-03-16
2023-04-07,2023-06-01
2023-06-20,2023-07-07
2023-08-31,2023-10-24
2023-11-15,2024-01-11
2024-02-19,2024-06-12
2024-08-20,2024-09-16
2024-10-01,2024-10-22
2024-11-18,2024-12-16
2025-02-06,2025-03-13
2025-05-06,2025-06-04
2025-07-25,2025-08-27
2026-01-16,2026-02-10
2026-02-24,2026-03-05
2026-03-30,2026-04-30
