in_date,out_date
1988-01-22,1990-02-08
1991-07-03,1991-10-30
1992-04-08,1992-10-03
1993-05-21,1993-09-13
1994-02-22,1995-08-29
1996-07-22,1999-03-26
2001-05-07,2001-09-10
2002-05-14,2002-10-31
2003-03-14,2003-09-02
2003-12-03,2004-10-15
2006-07-17,2008-01-07
2008-06-02,2008-08-08
2009-02-17,2009-03-11
2009-08-19,2010-05-26
2010-08-25,2010-09-06
2011-09-16,2011-11-02
2012-03-14,2012-08-10
2012-10-30,2014-04-09
2018-02-22,2018-11-16
2019-07-30,2019-12-30
2021-05-12,2022-08-16
2023-06-15,2023-11-16
