in_date,out_date
2001-12-12,2002-08-20
2002-10-02,2003-05-27
2003-09-24,2004-07-14
2005-01-12,2005-07-12
2005-11-24,2006-01-05
2006-04-14,2006-05-24
2006-09-04,2006-09-12
2006-09-15,2006-10-26
2006-12-28,2007-06-22
2007-10-25,2007-11-23
2008-04-28,2008-08-26
2009-07-06,2009-10-16
2010-04-19,2011-06-14
2012-02-23,2012-03-16
2012-10-15,2012-11-05
2013-01-24,2013-03-29
2013-05-23,2013-07-18
2014-01-03,2014-04-14
2015-02-10,2015-07-01
2015-07-31,2015-09-24
2016-11-08,2017-01-06
2017-02-06,2017-04-26
2017-06-27,2017-07-26
2017-10-17,2018-06-04
2019-01-04,2019-01-30
2019-03-13,2019-05-20
2020-08-31,2021-09-06
2021-09-29,2022-10-07
2023-01-03,2023-02-13
2023-05-11,2023-12-20
2024-03-29,2025-06-11
2025-09-03,2025-09-19
2025-10-23,2025-11-02
2026-02-11,2026-03-18
2026-05-07,2026-05-28
