in_date,out_date
1996-08-31,1996-11-28
1997-10-01,1998-03-07
1998-06-25,1998-08-12
1998-11-18,1999-01-08
1999-03-16,1999-07-14
1999-10-14,2000-02-23
2000-07-17,2000-09-08
2000-12-12,2001-02-26
2001-08-02,2001-08-23
2001-11-06,2001-11-22
2002-06-03,2002-09-25
2003-01-10,2003-09-08
2003-11-17,2004-03-23
2004-05-28,2004-09-23
2005-02-16,2005-04-19
2005-09-09,2005-10-19
2005-12-08,2006-01-24
2006-04-12,2006-08-28
2007-05-07,2007-10-04
2007-12-04,2008-04-29
2008-07-10,2009-04-28
2009-11-16,2010-05-10
2010-06-03,2010-06-30
2010-07-08,2010-09-01
2010-09-06,2011-01-03
2011-01-19,2011-08-08
2011-12-01,2012-02-10
2012-03-16,2012-08-28
2013-01-03,2013-03-13
2013-07-23,2013-09-26
2014-01-03,2014-03-10
2014-05-06,2014-05-14
2014-05-27,2014-09-12
2014-11-04,2014-12-19
2015-04-27,2015-07-06
2015-09-11,2015-12-30
2017-01-16,2017-04-10
2018-03-15,2018-06-29
2018-08-07,2019-03-05
2019-08-19,2020-01-07
2020-03-30,2020-06-22
2020-10-15,2021-01-29
2021-07-16,2022-04-27
2022-08-01,2022-10-26
2023-05-03,2023-11-13
2024-09-02,2024-12-10
2025-03-17,2025-06-03
2025-07-07,2025-11-05
2025-11-18,2025-12-17
