In_Date,Out_Date,Duration_Bars,In_Price,Out_Price,Size,PnL_Net,Return_Pct
2005-12-09,2008-03-28,59,7.29,9.35,1,1.32,18.07
2009-07-24,2011-06-24,49,7.05,9.3,1,2.56,36.26
2012-12-14,2015-08-21,69,9.2,10.78,1,2.41,26.2
2016-08-26,2018-02-09,38,13.21,15.75,1,3.79,28.67
2019-08-16,2022-01-07,62,16.86,32.63,1,14.95,88.67
2023-05-26,2025-05-16,51,27.63,45.75,1,15.92,57.61
