date,open,high,low,close,volume,mtm_hist,macd_hist
2006-09-11,16.54,16.57,15.42,15.74,43562,,
2006-09-21,15.74,16.25,15.26,16.2,24474,,
2006-10-03,16.14,16.6,16.02,16.54,13427,,
2006-10-17,16.6,17.01,15.85,16.82,19529,,
2006-10-27,16.67,16.92,16.65,16.72,19191,,
2006-11-08,16.69,17.09,16.5,17.06,17478,,
2006-11-20,17.19,17.37,16.84,17.35,9317,,
2006-11-30,17.39,18.26,17.35,18.26,14897,,
2006-12-12,18.41,18.7,18.12,18.28,11438,,
2006-12-22,18.3,18.68,17.89,18.62,15294,,
2007-01-04,18.62,19.49,18.53,19.28,18370,,
2007-01-16,19.29,19.46,18.41,18.91,10116,,
2007-01-26,18.85,19.23,18.71,19.0,7884,,
2007-02-07,18.89,19.04,18.47,18.89,5190,,
2007-03-01,18.92,19.29,18.71,18.81,5736,,
2007-03-12,18.71,19.13,17.62,18.51,10880,,
2007-03-22,18.52,18.92,18.25,18.92,4717,,
2007-04-03,18.92,19.29,18.86,19.29,4510,,
2007-04-16,19.35,19.73,19.33,19.49,6328,,
2007-04-26,19.64,19.66,18.94,19.17,4777,,
2007-05-09,19.17,19.28,18.41,19.0,3767,,
2007-05-21,19.0,19.11,18.83,19.09,1697,,
2007-05-31,19.09,19.38,19.09,19.37,2604,,
2007-06-12,19.4,19.82,19.29,19.78,2527,,
2007-06-25,19.82,21.25,19.7,21.15,3916,,
2007-07-05,21.45,21.75,20.63,21.75,2915,,
2007-07-17,21.75,23.38,21.75,23.09,7024,,
2007-07-27,22.62,24.96,22.62,23.21,4804,,
2007-08-08,22.81,23.97,21.98,22.92,4361,,
2007-08-20,23.09,23.38,19.47,21.04,7221,,
2007-08-30,21.1,21.63,20.46,21.34,2893,,2.036323
2007-09-11,21.25,22.15,21.25,22.13,1953,,2.00752
2007-09-26,22.33,23.09,21.57,23.06,3272,,2.060982
2007-10-05,23.12,23.67,22.8,23.25,2635,,2.101071
2007-10-18,23.27,23.4,22.85,23.26,2091,,2.111547
2007-10-30,23.27,23.9,22.48,23.71,2816,,2.144611
2007-11-09,23.71,23.78,21.28,21.45,2451,,1.912686
2007-11-21,21.22,21.6,20.34,21.04,4966,,1.668862
2007-12-03,20.78,20.99,19.38,20.19,5036,,1.372449
2007-12-13,20.19,20.86,19.29,19.35,2186,,1.03908
2007-12-25,19.35,19.49,17.54,18.41,3552,,0.669895
2008-01-07,18.41,19.61,18.12,18.12,3356,,0.344283
2008-01-17,18.27,19.67,18.0,18.59,2166,,0.135271
2008-01-29,18.3,18.95,16.66,16.9,2371,,-0.205471
2008-02-18,16.9,18.0,16.66,17.74,2199,,-0.382035
2008-02-29,17.82,19.41,16.98,19.32,3759,,-0.351413
2008-03-12,19.17,19.93,18.47,19.47,5469,,-0.308204
2008-03-24,19.47,20.76,18.12,20.05,2845,,-0.21082
2008-04-03,20.17,20.17,19.47,19.58,1866,,-0.1815
2008-04-16,19.67,20.93,19.67,20.93,4361,,-0.016079
2008-04-28,21.04,21.24,20.59,21.07,2400,,0.127907
2008-05-09,21.04,21.25,20.46,20.96,1159,,0.227605
2008-05-21,20.69,21.69,20.58,21.1,1796,,0.317707
2008-06-02,20.96,21.04,19.41,19.82,1264,,0.251457
2008-06-12,19.86,20.1,17.83,17.83,1282,,-0.010213
2008-06-24,18.12,18.38,17.04,17.07,1606,,-0.293702
2008-07-04,17.12,17.42,15.92,16.2,3091,,-0.602744
2008-07-16,16.02,16.48,15.2,15.23,2746,,-0.938946
2008-07-29,15.41,16.56,14.96,15.78,3645,,-1.134531
2008-08-08,16.08,16.15,15.02,15.93,2609,,-1.259889
2008-08-20,16.1,16.48,15.29,15.65,2130,,-1.373868
2008-09-01,15.65,15.93,15.14,15.2,1213,-3.024552,-1.495478
2008-09-11,15.08,15.23,13.56,13.68,5108,-3.106766,-1.733241
2008-09-23,13.77,13.85,11.24,13.02,7423,-3.230994,-1.969689
2008-10-06,12.69,13.33,11.39,11.46,4494,-3.39715,-2.296396
2008-10-17,11.17,11.52,10.15,10.23,3996,-3.572299,-2.655841
2008-10-29,10.05,10.7,8.18,9.12,4496,-3.769283,-3.024616
2008-11-10,9.35,10.52,9.15,9.72,4171,-3.768233,-3.218716
2008-11-20,9.65,9.65,7.75,7.83,3063,-3.813133,-3.533703
2008-12-02,7.48,9.12,7.48,8.51,2955,-3.749696,-3.672144
2008-12-12,8.56,9.47,8.18,8.83,2757,-3.614403,-3.708716
2008-12-24,9.35,9.62,8.75,8.88,1960,-3.428433,-3.693447
2009-01-07,8.88,9.76,8.83,9.7,1179,-3.195692,-3.557629
2009-01-16,9.47,9.47,8.77,8.89,982,-3.041771,-3.498836
2009-02-05,8.89,9.21,8.48,9.01,2452,-2.804393,-3.403959
2009-02-17,9.01,9.38,8.94,9.18,1239,-2.619674,-3.27667
2009-02-27,9.06,9.53,8.94,9.52,1901,-2.507826,-3.107676
2009-03-11,9.44,10.07,8.94,9.77,1563,-2.392343,-2.917237
2009-03-23,9.82,10.52,9.72,10.52,2881,-2.27123,-2.659943
2009-04-02,10.81,11.67,10.79,11.67,6045,-2.07578,-2.311433
2009-04-14,11.74,12.8,11.57,12.61,5493,-1.91842,-1.917165
2009-04-24,12.54,13.11,11.74,12.78,5922,-1.772507,-1.571465
2009-05-07,12.57,14.38,11.81,13.94,5821,-1.576867,-1.164184
2009-05-19,13.88,14.96,13.74,14.71,4403,-1.372258,-0.75366
2009-06-02,14.71,15.67,14.44,15.34,4080,-1.099374,-0.359463
2009-06-11,15.2,15.27,13.77,14.61,4996,-0.803086,-0.123794
2009-06-23,14.53,14.53,13.06,13.59,2661,-0.563241,-0.044637
2009-07-03,13.74,14.82,13.5,14.58,1853,-0.269042,0.120793
2009-07-15,14.64,15.32,14.39,15.05,2903,0.047991,0.297736
2009-07-27,15.37,15.96,15.15,15.84,2234,0.32352,0.515163
2009-08-06,15.84,16.27,15.09,15.25,2150,0.514908,0.618203
2009-08-19,15.08,16.64,15.07,15.26,4005,0.684919,0.693305
2009-08-31,15.26,15.26,14.46,14.91,3916,0.8267,0.708298
2009-09-10,14.88,16.25,14.88,15.84,3595,1.058207,0.809509
2009-09-22,15.84,16.6,15.78,16.39,2572,1.302601,0.937439
2009-10-02,16.43,16.98,15.96,16.24,2170,1.565758,1.011994
2009-10-14,16.19,16.95,16.19,16.91,1481,1.866543,1.12949
2009-10-26,17.02,17.24,16.66,16.71,1318,2.148471,1.188686
2009-11-05,16.71,16.74,15.7,16.1,1557,2.309672,1.159008
2009-11-17,16.26,17.07,16.22,16.79,1900,2.553384,1.195624
2009-11-27,16.79,16.96,15.91,16.29,3234,2.681383,1.159693
2009-12-09,16.47,16.9,16.4,16.9,1540,2.783527,1.183083
2009-12-21,16.9,17.34,16.58,16.93,4419,2.848343,1.192158
2009-12-31,16.94,18.02,16.94,18.02,2578,2.895702,1.300371
2010-01-13,18.02,18.27,17.84,18.07,6941,2.956865,1.376576
2010-01-25,17.94,18.25,16.88,17.11,1914,2.9348,1.321771
2010-02-04,17.23,17.24,15.97,16.25,2940,2.845962,1.175603
2010-02-24,16.15,16.47,15.0,16.29,3441,2.737584,1.05333
2010-03-08,16.41,16.57,15.93,16.47,2292,2.624855,0.965582
2010-03-18,16.53,16.9,16.4,16.88,1698,2.496158,0.929679
2010-03-30,16.84,17.39,16.68,17.25,2272,2.333659,0.930488
2010-04-12,17.25,17.9,17.25,17.77,1757,2.161621,0.975593
2010-04-22,17.77,17.87,17.09,17.34,2220,1.974078,0.955878
2010-05-04,17.38,17.93,17.1,17.24,3273,1.742834,0.920102
2010-05-14,17.05,17.05,15.86,16.87,3129,1.48261,0.844025
2010-05-26,16.66,16.66,15.18,15.47,2479,1.156781,0.629965
2010-06-07,15.47,16.19,15.37,15.72,1203,0.924862,0.482211
2010-06-18,15.72,16.49,15.59,16.4,1261,0.807812,0.432588
2010-06-30,16.59,16.87,16.1,16.25,1196,0.649245,0.373688
2010-07-12,16.2,17.15,16.16,17.08,1185,0.530096,0.410239
2010-07-22,17.08,17.44,16.98,17.38,1548,0.403305,0.465771
2010-08-03,17.43,18.18,17.37,18.13,1544,0.359984,0.582429
2010-08-13,18.12,18.47,17.94,18.38,1756,0.33305,0.693542
2010-08-25,18.33,18.73,17.9,17.91,1115,0.302459,0.724167
2010-09-06,17.94,18.44,17.43,18.37,937,0.252019,0.788466
2010-09-16,18.37,18.88,18.11,18.67,1399,0.196082,0.861736
2010-09-29,18.68,19.2,18.68,19.05,1635,0.173871,0.949585
2010-10-11,19.13,19.44,18.92,19.2,3957,0.128876,1.023951
2010-10-21,19.2,19.3,18.33,18.89,1539,0.085138,1.039091
2010-11-02,18.91,19.58,18.91,19.51,1701,0.10789,1.104679
2010-11-12,19.51,19.57,19.03,19.51,1601,0.092559,1.144413
2010-11-24,19.34,19.34,18.77,19.02,1802,0.079627,1.112492
2010-12-06,19.04,20.16,19.04,20.0,1707,0.086283,1.178048
2010-12-16,20.04,20.29,19.9,20.14,1225,0.096578,1.231577
2010-12-28,20.1,20.45,20.01,20.27,3088,0.05782,1.274108
2011-01-07,20.24,20.86,20.11,20.22,1802,0.020259,1.288856
2011-01-19,20.22,20.84,20.16,20.74,906,0.060762,1.341118
2011-02-08,20.74,20.83,20.42,20.71,1502,0.134439,1.364854
2011-02-18,20.58,20.73,19.42,20.14,1501,0.165251,1.309804
2011-03-03,20.14,20.22,19.22,20.04,1252,0.176168,1.242737
2011-03-15,20.16,20.16,18.16,18.17,1603,0.07321,0.982603
2011-03-25,18.5,19.42,18.18,19.37,2745,0.02725,0.894139
2011-04-08,19.3,20.16,19.14,20.04,1042,-0.003948,0.885504
2011-04-20,20.04,20.24,19.43,19.9,2293,-0.015821,0.85495
2011-05-03,20.0,21.06,20.0,20.11,862,-0.010537,0.844049
2011-05-13,20.05,20.68,20.05,20.54,600,0.032829,0.871532
2011-05-25,20.52,20.52,19.42,19.61,771,0.091587,0.78705
2011-06-07,19.75,20.72,19.7,20.55,1359,0.173457,0.810767
2011-06-17,20.55,20.66,19.46,19.46,913,0.154436,0.707308
2011-06-29,19.59,19.84,19.2,19.71,646,0.156958,0.645155
2011-07-11,19.84,21.09,19.72,20.1,1617,0.13658,0.630502
2011-07-21,19.84,20.55,19.53,20.42,932,0.119622,0.645821
2011-08-02,20.57,20.97,20.38,20.68,726,0.08084,0.678144
2011-08-12,20.64,20.99,17.16,18.52,3890,-0.069192,0.471333
2011-08-24,18.56,19.01,17.12,17.78,999,-0.206863,0.227769
2011-09-05,17.85,18.37,17.28,17.81,793,-0.341056,0.038236
2011-09-16,17.61,17.92,17.05,17.89,751,-0.461209,-0.101901
2011-09-28,17.8,17.89,15.75,16.36,1052,-0.65098,-0.369696
2011-10-11,16.31,17.08,15.87,17.08,2229,-0.776895,-0.500061
2011-10-21,16.96,17.26,16.52,16.7,1816,-0.879831,-0.636282
2011-11-02,16.9,17.89,16.79,17.57,899,-0.947348,-0.645452
2011-11-14,17.57,17.77,16.77,17.35,884,-1.007728,-0.66881
2011-11-24,17.28,17.28,15.21,15.45,2565,-1.119589,-0.878007
2011-12-06,15.59,16.28,15.28,15.73,783,-1.239059,-1.003131
2011-12-16,15.82,15.85,15.01,15.17,595,-1.36404,-1.148767
2011-12-28,15.01,15.93,14.43,15.51,1588,-1.44851,-1.215163
2012-01-09,15.51,15.96,15.35,15.74,682,-1.495232,-1.230418
2012-01-30,15.84,17.14,15.78,16.96,4815,-1.489755,-1.102436
2012-02-08,17.01,18.37,16.97,18.33,5473,-1.406791,-0.848258
2012-02-20,18.37,18.66,18.14,18.35,2549,-1.299203,-0.638762
2012-03-03,18.44,19.09,18.21,18.83,1855,-1.17233,-0.41844
2012-03-14,18.83,18.83,17.87,18.69,1502,-0.974365,-0.256537
2012-03-26,18.69,18.77,18.28,18.35,627,-0.877488,-0.162796
2012-04-06,18.44,18.46,16.75,17.29,1210,-0.874761,-0.198281
2012-04-18,17.14,17.64,17.05,17.32,864,-0.85815,-0.220813
2012-04-30,17.29,17.29,16.61,16.87,1334,-0.870431,-0.282991
2012-05-11,16.87,17.64,16.83,16.9,771,-0.894065,-0.325495
2012-05-23,16.9,17.14,16.02,16.18,960,-0.897343,-0.430311
2012-06-04,16.18,16.74,15.55,15.69,997,-0.963357,-0.558757
2012-06-14,15.92,16.34,15.76,16.19,396,-0.934387,-0.601202
2012-06-26,16.34,16.79,16.27,16.34,573,-0.908618,-0.612475
2012-07-06,16.34,17.98,16.34,17.05,1286,-0.865278,-0.540944
2012-07-18,17.05,17.14,16.54,16.6,326,-0.860583,-0.5263
2012-07-30,16.61,16.87,16.28,16.87,372,-0.850209,-0.481252
2012-08-10,16.87,17.39,16.66,17.27,820,-0.711214,-0.399379
2012-08-22,17.28,17.64,17.23,17.44,552,-0.546211,-0.313547
2012-09-03,17.45,17.57,17.01,17.34,303,-0.411234,-0.253641
2012-09-13,17.34,17.6,17.08,17.46,755,-0.293953,-0.191698
2012-09-25,17.68,18.47,17.68,18.1,1923,-0.088692,-0.074641
2012-10-05,17.81,18.07,17.78,17.82,1015,0.034365,-0.011579
2012-10-18,18.0,18.0,17.24,17.38,541,0.133756,-0.008025
2012-10-30,17.38,17.38,16.28,16.34,1167,0.122806,-0.113498
2012-11-09,16.42,16.66,16.21,16.54,418,0.133245,-0.173884
2012-11-21,16.54,16.61,16.12,16.14,458,0.213935,-0.260915
2012-12-03,16.47,17.31,16.19,17.3,709,0.32247,-0.205357
2012-12-13,17.25,17.62,17.14,17.55,1009,0.45005,-0.133772
2012-12-24,17.54,17.55,17.1,17.2,803,0.519701,-0.11291
2013-01-07,17.33,18.03,17.31,17.71,1141,0.587745,-0.042311
2013-01-17,17.71,18.03,17.45,17.48,812,0.56988,-0.010673
2013-01-29,17.48,17.93,17.48,17.89,801,0.504369,0.056863
2013-02-19,17.89,18.41,17.87,18.41,1747,0.47058,0.163201
2013-03-01,18.34,18.52,18.1,18.37,1693,0.413876,0.24041
2013-03-13,18.43,18.85,18.17,18.59,1447,0.381249,0.321142
2013-03-25,18.41,18.58,18.03,18.3,430,0.353842,0.350661
2013-04-08,18.29,18.47,17.9,18.05,1003,0.367921,0.344027
2013-04-18,18.03,18.34,17.9,18.07,514,0.376613,0.337345
2013-04-30,18.28,18.95,18.28,18.82,1097,0.439574,0.406735
2013-05-13,18.82,19.4,18.82,19.26,1204,0.508919,0.502543
2013-05-23,19.21,19.88,19.19,19.4,1004,0.604978,0.586742
2013-06-04,19.4,19.73,19.19,19.19,545,0.694437,0.624535
2013-06-17,19.19,19.26,18.59,18.82,361,0.721873,0.609013
2013-06-27,18.82,18.96,18.1,18.6,298,0.721736,0.567626
2013-07-09,18.51,18.91,18.51,18.75,229,0.689388,0.545005
2013-07-19,18.84,19.8,18.8,19.32,766,0.707227,0.58103
2013-07-31,19.35,19.88,19.35,19.46,411,0.710863,0.617706
2013-08-12,19.47,19.91,19.13,19.2,174,0.676872,0.612841
2013-08-23,19.28,19.53,19.14,19.2,111,0.635582,0.602657
2013-09-04,19.33,19.91,19.16,19.87,343,0.634191,0.658214
2013-09-14,19.88,20.39,19.88,20.06,586,0.63203,0.714553
2013-09-27,20.12,20.55,20.12,20.34,308,0.608341,0.780292
2013-10-09,20.32,20.91,20.18,20.59,590,0.610138,0.849564
2013-10-22,20.74,22.02,20.64,20.74,549,0.63608,0.910458
2013-11-01,20.79,20.91,20.5,20.63,222,0.698489,0.937089
2013-11-13,20.56,20.65,19.95,19.95,196,0.702869,0.8773
2013-11-25,19.94,20.36,19.73,20.02,562,0.724484,0.828743
2013-12-05,20.02,20.7,20.02,20.59,180,0.708785,0.84155
2013-12-17,20.59,20.79,20.17,20.37,169,0.667934,0.819873
2013-12-27,20.49,20.79,20.37,20.79,235,0.666683,0.838147
2014-01-09,20.92,21.25,20.67,20.84,358,0.63865,0.848901
2014-01-21,20.88,21.1,20.67,21.09,371,0.634187,0.874502
2014-02-10,21.04,21.15,20.33,20.79,437,0.59155,0.854143
2014-02-20,20.79,21.04,20.72,20.88,240,0.531008,0.838716
2014-03-05,21.01,21.2,20.86,21.13,409,0.490967,0.843968
2014-03-17,21.13,21.29,20.93,20.98,286,0.436203,0.823655
2014-03-27,21.01,21.29,20.53,21.15,299,0.409899,0.816914
2014-04-09,21.15,21.46,20.99,21.34,471,0.406521,0.82293
2014-04-21,21.36,21.48,21.06,21.33,338,0.399424,0.818016
2014-05-02,21.35,21.39,20.65,20.94,318,0.33532,0.765031
2014-05-14,21.08,22.46,20.74,21.35,202,0.278113,0.758375
2014-05-26,21.12,21.36,20.77,21.13,302,0.211009,0.722359
2014-06-06,21.18,21.53,21.13,21.41,545,0.177443,0.715864
2014-06-18,21.43,21.95,21.43,21.74,436,0.182268,0.737708
2014-06-30,21.75,21.92,21.44,21.77,148,0.197175,0.750214
2014-07-10,21.78,22.1,21.78,22.08,1164,0.216006,0.784461
2014-07-22,22.03,22.22,21.77,22.12,308,0.204434,0.807212
2014-08-04,22.14,22.49,21.97,22.05,218,0.183163,0.809285
2014-08-14,22.05,22.18,21.47,21.92,136,0.170485,0.788934
2014-08-26,21.99,22.19,21.71,22.12,127,0.168458,0.78565
2014-09-05,22.12,22.44,22.01,22.3,345,0.14178,0.79365
2014-09-18,22.2,22.27,21.44,21.57,253,0.073841,0.715591
2014-09-30,21.7,21.79,20.86,21.01,346,-0.024121,0.588821
2014-10-13,21.92,21.92,20.37,20.37,545,-0.148852,0.416981
2014-10-23,20.27,20.65,19.61,20.09,978,-0.272663,0.249221
2014-11-04,20.16,20.76,19.83,20.75,305,-0.336516,0.184312
2014-11-14,20.65,20.78,20.31,20.6,222,-0.361625,0.116057
2014-11-26,20.65,20.97,20.3,20.89,328,-0.369344,0.091733
2014-12-08,20.9,21.68,20.66,21.34,369,-0.379045,0.118648
2014-12-18,21.34,21.47,20.76,20.82,186,-0.39908,0.084274
2014-12-29,20.97,21.59,20.61,21.58,276,-0.396477,0.135708
2015-01-12,21.68,21.77,21.05,21.4,390,-0.402735,0.155726
2015-01-22,21.5,21.81,21.34,21.75,251,-0.400292,0.206202
2015-02-03,21.82,21.99,21.44,21.71,279,-0.382837,0.239322
2015-02-13,21.75,21.93,21.66,21.78,315,-0.366606,0.269996
2015-03-06,21.85,23.52,21.85,22.2,403,-0.342269,0.334897
2015-03-18,22.22,22.41,21.94,22.07,119,-0.31864,0.368571
2015-03-30,22.13,22.35,21.78,21.88,243,-0.314236,0.371248
2015-04-13,21.99,22.1,21.81,22.0,122,-0.311787,0.381972
2015-04-23,21.76,22.15,21.72,22.13,341,-0.300775,0.399913
2015-05-06,22.22,22.53,22.09,22.13,304,-0.270551,0.409763
2015-05-18,22.04,22.13,21.41,21.43,284,-0.297445,0.340274
2015-05-28,21.53,21.7,21.26,21.59,169,-0.299318,0.299108
2015-06-09,21.67,21.67,20.4,20.43,321,-0.3688,0.142998
2015-06-22,20.47,21.37,20.33,20.68,181,-0.42803,0.045589
2015-07-02,20.68,20.9,20.33,20.55,125,-0.482193,-0.044529
2015-07-15,20.66,20.76,19.78,19.89,286,-0.571134,-0.183219
2015-07-27,19.92,20.03,19.05,19.13,223,-0.680174,-0.368829
2015-08-06,19.13,19.13,18.52,18.53,292,-0.79208,-0.572495
2015-08-18,18.52,18.66,18.01,18.3,299,-0.884697,-0.749604
2015-08-28,18.21,18.21,16.09,17.53,778,-1.002886,-0.96037
2015-09-09,17.47,18.3,17.1,18.3,480,-1.065732,-1.034819
2015-09-21,18.3,19.01,18.15,18.59,197,-1.06112,-1.051994
2015-10-05,18.59,18.8,17.86,18.54,250,-1.025115,-1.059663
2015-10-16,18.63,19.17,18.59,18.98,226,-0.935493,-1.008782
2015-10-28,19.18,19.53,19.05,19.37,176,-0.821741,-0.917898
2015-11-09,19.37,19.79,18.81,19.17,191,-0.763048,-0.858168
2015-11-19,19.17,19.17,18.01,18.51,243,-0.733629,-0.871314
2015-12-01,18.51,19.36,18.26,18.84,580,-0.702074,-0.838133
2015-12-11,19.44,19.82,18.33,18.49,1290,-0.709792,-0.839938
2015-12-23,18.45,18.78,17.69,18.63,845,-0.679211,-0.818016
2016-01-05,18.72,18.78,17.99,18.46,238,-0.694219,-0.810076
2016-01-15,18.12,18.15,16.69,16.69,587,-0.779195,-0.97981
2016-01-27,16.51,17.47,16.51,17.44,268,-0.825154,-1.024083
2016-02-16,17.44,18.11,17.14,18.03,366,-0.827098,-0.986546
2016-02-26,18.06,18.48,18.04,18.4,248,-0.80839,-0.908402
2016-03-10,18.19,19.13,18.19,19.03,379,-0.776979,-0.772264
2016-03-22,19.13,19.36,18.78,19.19,281,-0.731309,-0.641195
